sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-0.7759882,10.134167,0,8.366251,2.1825001
grid,-79,0,180,0.9875,-0.7638633,10.134166,0,8.366251,2.1825001
grid,-78,0,180,0.975,-0.7517384,10.134165,0,8.366251,2.1825001
grid,-77,0,180,0.9625,-0.73961353,10.134164,0,8.366251,2.1825001
grid,-76,-24,197.52557,0.99624294,-0.47128806,9.7578125,0,8.366251,2.1825001
grid,-76,-23,196.8375,0.9925504,-0.4805983,9.773929,0,8.366251,2.1825001
grid,-76,0,180,0.95,-0.7274886,10.134163,0,8.366251,2.1825001
grid,-76,23,163.16252,0.9925504,-0.48059854,11.03476,0,8.366251,2.1825001
grid,-76,24,162.47444,0.99624294,-0.47128832,11.075051,0,8.366251,2.1825001
grid,-75,-27,199.79889,0.99639976,-0.43233553,9.708927,0,8.366251,2.1825001
grid,-75,-26,199.11974,0.9922355,-0.4413375,9.72523,0,8.366251,2.1825001
grid,-75,-25,198.43497,0.98821175,-0.45042914,9.741474,0,8.366251,2.1825001
grid,-75,-24,197.74469,0.98433036,-0.45961386,9.757663,0,8.366251,2.1825001
grid,-75,-23,197.04904,0.98059297,-0.4688944,9.773796,0,8.366251,2.1825001
grid,-75,0,180,0.9375,-0.71536374,10.134161,0,8.366251,2.1825001
grid,-75,23,162.95097,0.98059297,-0.46889463,11.035089,0,8.366251,2.1825001
grid,-75,24,162.25533,0.98433036,-0.45961413,11.075422,0,8.366251,2.1825001
grid,-75,25,161.56505,0.98821175,-0.4504294,11.115894,0,8.366251,2.1825001
grid,-75,26,160.88028,0.9922355,-0.44133776,11.1565075,0,8.366251,2.1825001
grid,-75,27,160.20113,0.99639976,-0.4323358,11.197265,0,8.366251,2.1825001
grid,-74,-30,202.06792,0.9981232,-0.39436778,9.659373,0,8.366251,2.1825001
grid,-74,-29,201.39983,0.99349445,-0.40308404,9.675882,0,8.366251,2.1825001
grid,-74,-28,200.72557,0.98900205,-0.4118823,9.6923275,0,8.366251,2.1825001
grid,-74,-27,200.04526,0.9846478,-0.42076534,9.708713,0,8.366251,2.1825001
grid,-74,-26,199.35901,0.9804336,-0.4297355,9.725037,0,8.366251,2.1825001
grid,-74,-25,198.66693,0.9763613,-0.4387961,9.741301,0,8.366251,2.1825001
grid,-74,-24,197.96916,0.97243255,-0.4479497,9.757507,0,8.366251,2.1825001
grid,-74,-23,197.26582,0.9686492,-0.4571994,9.773659,0,8.366251,2.1825001
grid,-74,0,180,0.925,-0.70323884,10.13416,0,8.366251,2.1825001
grid,-74,23,162.73419,0.9686492,-0.45719966,11.03543,0,8.366251,2.1825001
grid,-74,24,162.03085,0.97243255,-0.44794998,11.075808,0,8.366251,2.1825001
grid,-74,25,161.33308,0.9763613,-0.43879634,11.116325,0,8.366251,2.1825001
grid,-74,26,160.641,0.9804336,-0.42973578,11.156988,0,8.366251,2.1825001
grid,-74,27,159.95476,0.9846478,-0.4207656,11.197798,0,8.366251,2.1825001
grid,-74,28,159.27444,0.98900205,-0.41188258,11.23876,0,8.366251,2.1825001
grid,-74,29,158.60019,0.99349445,-0.4030843,11.279877,0,8.366251,2.1825001
grid,-74,30,157.9321,0.9981232,-0.39436805,11.32115,0,8.366251,2.1825001
grid,-73,-32,203.67055,0.9963214,-0.36577332,9.625812,0,8.366251,2.1825001
grid,-73,-31,203.00888,0.991369,-0.37430146,9.642478,0,8.366251,2.1825001
grid,-73,-30,202.34065,0.9865502,-0.38290623,9.659078,0,8.366251,2.1825001
grid,-73,-29,201.66597,0.98186684,-0.39159003,9.675612,0,8.366251,2.1825001
grid,-73,-28,200.98491,0.97732097,-0.40035596,9.692082,0,8.366251,2.1825001
grid,-73,-27,200.29758,0.97291446,-0.40920672,9.708489,0,8.366251,2.1825001
grid,-73,-26,199.6041,0.9686492,-0.4181449,9.724835,0,8.366251,2.1825001
grid,-73,-25,198.90459,0.9645271,-0.42717364,9.74112,0,8.366251,2.1825001
grid,-73,-24,198.19919,0.96055,-0.43629554,9.757346,0,8.366251,2.1825001
grid,-73,-23,197.488,0.9567197,-0.4455142,9.773514,0,8.366251,2.1825001
grid,-73,0,180,0.9125,-0.691114,10.134159,0,8.366251,2.1825001
grid,-73,23,162.51201,0.9567197,-0.44551444,11.035784,0,8.366251,2.1825001
grid,-73,24,161.80083,0.96055,-0.43629578,11.076207,0,8.366251,2.1825001
grid,-73,25,161.09543,0.9645271,-0.42717388,11.116773,0,8.366251,2.1825001
grid,-73,26,160.39592,0.9686492,-0.41814515,11.157487,0,8.366251,2.1825001
grid,-73,27,159.70244,0.97291446,-0.409207,11.198351,0,8.366251,2.1825001
grid,-73,28,159.0151,0.97732097,-0.40035623,11.23937,0,8.366251,2.1825001
grid,-73,29,158.33405,0.98186684,-0.3915903,11.280548,0,8.366251,2.1825001
grid,-73,30,157.65936,0.9865502,-0.3829065,11.321886,0,8.366251,2.1825001
grid,-73,31,156.99113,0.991369,-0.3743017,11.363387,0,8.366251,2.1825001
grid,-73,32,156.32947,0.9963214,-0.3657736,11.405053,0,8.366251,2.1825001
grid,-72,-34,205.27773,0.9953014,-0.3376181,9.591851,0,8.366251,2.1825001
grid,-72,-33,204.62358,0.9900284,-0.3459685,9.608685,0,8.366251,2.1825001
