sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.1909187,8.114895,-0.38997453,6.417001,1.674
grid,-79,0,180,0.9875,-2.151516,8.11167,-0.38511562,6.417001,1.674
grid,-78,0,180,0.975,-2.1121137,8.108442,-0.38025656,6.417001,1.674
grid,-77,0,180,0.9625,-2.0727115,8.105214,-0.37539715,6.417001,1.674
grid,-76,-24,197.52557,0.99624294,-2.1082664,7.1956396,-0.30010188,6.417001,1.674
grid,-76,-23,196.8375,0.9925504,-2.1025577,7.232114,-0.30358618,6.417001,1.674
grid,-76,0,180,0.95,-2.03331,8.101985,-0.37053746,6.417001,1.674
grid,-76,23,163.16252,0.9925504,-2.079532,9.167759,-0.41344506,6.417001,1.674
grid,-76,24,162.47444,0.99624294,-2.0838785,9.219548,-0.41524455,6.417001,1.674
grid,-75,-27,199.79889,0.99639976,-2.0882437,7.084112,-0.28454918,6.417001,1.674
grid,-75,-26,199.11974,0.9922355,-2.0818768,7.1202564,-0.28805748,6.417001,1.674
grid,-75,-25,198.43497,0.98821175,-2.0757048,7.156498,-0.2915628,6.417001,1.6740001
grid,-75,-24,197.74469,0.98433036,-2.069731,7.1928406,-0.29506195,6.417001,1.674
grid,-75,-23,197.04904,0.98059297,-2.0639594,7.2292843,-0.29855046,6.4170003,1.674
grid,-75,0,180,0.9375,-1.9939091,8.098757,-0.36567754,6.417001,1.674
grid,-75,23,162.95097,0.98059297,-2.0408063,9.166149,-0.4085723,6.4170003,1.674
grid,-75,24,162.25533,0.98433036,-2.0452106,9.218033,-0.41037014,6.417001,1.674
grid,-75,25,161.56505,0.98821175,-2.0498054,9.270208,-0.41216043,6.417001,1.6740001
grid,-75,26,160.88028,0.9922355,-2.0545876,9.322656,-0.4139439,6.417001,1.674
grid,-75,27,160.20113,0.99639976,-2.0595567,9.3753605,-0.4157195,6.417001,1.674
grid,-74,-30,202.06792,0.9981232,-2.07038,6.973682,-0.26900172,6.417001,1.6740001
grid,-74,-29,201.39983,0.99349445,-2.0633786,7.0095024,-0.27249473,6.417001,1.6740001
grid,-74,-28,200.72557,0.98900205,-2.0565615,7.045416,-0.2759963,6.417001,1.6740001
grid,-74,-27,200.04526,0.9846478,-2.0499332,7.0814266,-0.27950314,6.417001,1.674
grid,-74,-26,199.35901,0.9804336,-2.0434968,7.117535,-0.28301197,6.417001,1.674
grid,-74,-25,198.66693,0.9763613,-2.0372572,7.153743,-0.28651893,6.417001,1.6740001
grid,-74,-24,197.96916,0.97243255,-2.0312169,7.1900516,-0.29002056,6.417001,1.6740001
grid,-74,-23,197.26582,0.9686492,-2.0253804,7.2264624,-0.29351297,6.417001,1.674
grid,-74,0,180,0.925,-1.9545085,8.095528,-0.36081725,6.417001,1.6740001
grid,-74,23,162.73419,0.9686492,-2.002099,9.164568,-0.40369868,6.417001,1.674
grid,-74,24,162.03085,0.97243255,-2.0065634,9.216548,-0.4054944,6.417001,1.6740001
grid,-74,25,161.33308,0.9763613,-2.0112195,9.268815,-0.40728286,6.417001,1.6740001
grid,-74,26,160.641,0.9804336,-2.0160656,9.321353,-0.40906408,6.417001,1.674
grid,-74,27,159.95476,0.9846478,-2.0211003,9.374144,-0.41083756,6.417001,1.674
grid,-74,28,159.27444,0.98900205,-2.02632,9.427171,-0.41260374,6.417001,1.6740001
grid,-74,29,158.60019,0.99349445,-2.0317254,9.480418,-0.41436133,6.417001,1.6740001
grid,-74,30,157.9321,0.9981232,-2.0373123,9.533866,-0.41611075,6.417001,1.6740001
grid,-73,-32,203.67055,0.9963214,-2.0470061,6.8998423,-0.25703052,6.417001,1.674
grid,-73,-31,203.00888,0.991369,-2.0395708,6.9354362,-0.26048934,6.417001,1.6740001
grid,-73,-30,202.34065,0.9865502,-2.0323136,6.9711223,-0.2639648,6.417001,1.674
grid,-73,-29,201.66597,0.98186684,-2.0252378,7.006903,-0.26745328,6.4170003,1.674
grid,-73,-28,200.98491,0.97732097,-2.0183482,7.0427794,-0.27095187,6.417001,1.674
grid,-73,-27,200.29758,0.97291446,-2.0116482,7.0787525,-0.27445728,6.417001,1.674
grid,-73,-26,199.6041,0.9686492,-2.0051417,7.1148257,-0.27796596,6.417001,1.674
grid,-73,-25,198.90459,0.9645271,-1.9988325,7.1509976,-0.28147423,6.417001,1.6740001
grid,-73,-24,198.19919,0.96055,-1.9927245,7.187272,-0.28497788,6.417001,1.6740001
grid,-73,-23,197.488,0.9567197,-1.9868221,7.2236505,-0.28847408,6.417001,1.6740001
grid,-73,0,180,0.9125,-1.9151082,8.092297,-0.35595685,6.417001,1.674
grid,-73,23,162.51201,0.9567197,-1.9634106,9.163015,-0.39882421,6.417001,1.6740001
grid,-73,24,161.80083,0.96055,-1.9679362,9.215091,-0.40061787,6.417001,1.6740001
grid,-73,25,161.09543,0.9645271,-1.972655,9.267449,-0.40240452,6.417001,1.6740001
grid,-73,26,160.39592,0.9686492,-1.9775672,9.320079,-0.40418336,6.417001,1.674
grid,-73,27,159.70244,0.97291446,-1.9826686,9.372958,-0.40595448,6.417001,1.674
grid,-73,28,159.0151,0.97732097,-1.9879575,9.426071,-0.40771776,6.417001,1.674
grid,-73,29,158.33405,0.98186684,-1.993433,9.479398,-0.40947276,6.4170003,1.674
grid,-73,30,157.65936,0.9865502,-1.9990923,9.532924,-0.4112196,6.417001,1.674
grid,-73,31,156.99113,0.991369,-2.0049324,9.586633,-0.41295776,6.417001,1.6740001
grid,-73,32,156.32947,0.9963214,-2.0109518,9.640507,-0.41468734,6.417001,1.674
grid,-72,-34,205.27773,0.9953014,-2.0246673,6.8265486,-0.24517351,6.4170003,1.674
grid,-72,-33,204.62358,0.9900284,-2.0168102,6.861918,-0.24857965,6.417001,1.6740001
grid,-72,-32,203.9625,0.98488575,-2.0091236,6.897379,-0.25200984,6.417001,1.674
grid,-72,-31,203.29457,0.9798756,-2.0016117,6.9329305,-0.25546053,6.417001,1.674
grid,-72,-30,202.61987,0.97499996,-1.9942781,6.9685764,-0.25892946,6.417001,1.6740001
grid,-72,-29,201.93849,0.97026086,-1.9871272,7.0043178,-0.262413,6.417001,1.674
grid,-72,-28,201.25052,0.9656604,-1.9801636,7.0401564,-0.2659083,6.417001,1.6740001
grid,-72,-27,200.55606,0.9612004,-1.97339,7.076093,-0.26941156,6.417001,1.6740001
grid,-72,-26,199.85522,0.9568829,-1.9668115,7.1121283,-0.2729196,6.417001,1.6740001
grid,-72,-25,199.14816,0.9527099,-1.9604318,7.148264,-0.27642834,6.417001,1.6740001
grid,-72,-24,198.43497,0.94868326,-1.9542547,7.1845036,-0.27993435,6.417001,1.674
grid,-72,-23,197.7158,0.94480485,-1.9482844,7.220848,-0.2834336,6.417001,1.674
grid,-72,0,180,0.9,-1.8757083,8.089065,-0.35109603,6.417001,1.6740001
grid,-72,23,162.28421,0.94480485,-1.9247415,9.161493,-0.3939486,6.417001,1.674
grid,-72,24,161.56505,0.94868326,-1.9293296,9.213663,-0.39574054,6.417001,1.674
grid,-72,25,160.85185,0.9527099,-1.9341141,9.266119,-0.3975248,6.417001,1.6740001
grid,-72,26,160.14479,0.9568829,-1.9390926,9.318837,-0.39930117,6.417001,1.6740001
grid,-72,27,159.44395,0.9612004,-1.9442626,9.371805,-0.40107015,6.417001,1.6740001
grid,-72,28,158.7495,0.9656604,-1.9496228,9.425001,-0.40283042,6.417001,1.6740001
grid,-72,29,158.06152,0.97026086,-1.9551699,9.478409,-0.40458268,6.417001,1.674
grid,-72,30,157.38014,0.97499996,-1.9609027,9.532011,-0.40632665,6.417001,1.6740001
grid,-72,31,156.70544,0.9798756,-1.9668182,9.585791,-0.40806162,6.417001,1.674
grid,-72,32,156.03752,0.98488575,-1.972914,9.639735,-0.4097878,6.417001,1.674
grid,-72,33,155.37643,0.9900284,-1.9791881,9.693826,-0.41150463,6.417001,1.6740001
grid,-72,34,154.72229,0.9953014,-1.9856372,9.748047,-0.41321263,6.4170003,1.674
grid,-71,-36,206.88695,0.9950659,-2.0033479,6.7538037,-0.23347744,6.417001,1.6740001
grid,-71,-35,206.24136,0.98947585,-1.9950814,6.788951,-0.2368129,6.4170003,1.674
grid,-71,-34,205.58852,0.98401284,-1.9869784,6.8241873,-0.24017903,6.417001,1.6740001
