sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.9671913,9.937948,-4.0710044,10.062501,2.625
grid,-79,0,180,0.9875,-1.9600718,9.923428,-4.014902,10.062501,2.625
grid,-78,0,180,0.975,-1.9528387,9.908907,-3.9588196,10.062501,2.625
grid,-77,0,180,0.9625,-1.9454919,9.894386,-3.9027553,10.062501,2.625
grid,-76,-24,197.52557,0.99624294,-1.8220892,8.759953,-3.891305,10.062501,2.625
grid,-76,-23,196.8375,0.9925504,-1.8305027,8.807051,-3.8875859,10.062501,2.6250002
grid,-76,0,180,0.95,-1.9380314,9.879866,-3.8467114,10.062501,2.625
grid,-76,23,163.16252,0.9925504,-1.9109172,11.055359,-3.8444288,10.062501,2.625
grid,-76,24,162.47444,0.99624294,-1.908419,11.111269,-3.8451765,10.062501,2.625
grid,-75,-27,199.79889,0.99639976,-1.7878011,8.604495,-3.8481162,10.062501,2.625
grid,-75,-26,199.11974,0.9922355,-1.7968407,8.65135,-3.8438704,10.062501,2.625
grid,-75,-25,198.43497,0.98821175,-1.8056805,8.69829,-3.8397818,10.062501,2.625
grid,-75,-24,197.74469,0.98433036,-1.8143133,8.745306,-3.8358524,10.062501,2.625
grid,-75,-23,197.04904,0.98059297,-1.8227271,8.792387,-3.8320847,10.062501,2.625
grid,-75,0,180,0.9375,-1.9304569,9.865344,-3.7906864,10.062501,2.625
grid,-75,23,162.95097,0.98059297,-1.9026527,11.042262,-3.7887368,10.062501,2.625
grid,-75,24,162.25533,0.98433036,-1.9001005,11.098258,-3.789533,10.062501,2.625
grid,-75,25,161.56505,0.98821175,-1.8974329,11.15452,-3.79047,10.062501,2.625
grid,-75,26,160.88028,0.9922355,-1.8946482,11.211033,-3.7915547,10.062501,2.625
grid,-75,27,160.20113,0.99639976,-1.8917472,11.267782,-3.7927914,10.062501,2.625
grid,-74,-30,202.06792,0.9981232,-1.7517314,8.450108,-3.8067088,10.062501,2.625
grid,-74,-29,201.39983,0.99349445,-1.7613006,8.496605,-3.8019369,10.062501,2.625
grid,-74,-28,200.72557,0.98900205,-1.7706994,8.543219,-3.7973208,10.062501,2.625
grid,-74,-27,200.04526,0.9846478,-1.7799199,8.589942,-3.7928605,10.062501,2.625
grid,-74,-26,199.35901,0.9804336,-1.7889533,8.636763,-3.788558,10.062501,2.625
grid,-74,-25,198.66693,0.9763613,-1.7977896,8.683675,-3.7844155,10.062501,2.625
grid,-74,-24,197.96916,0.97243255,-1.8064191,8.730665,-3.780435,10.062501,2.625
grid,-74,-23,197.26582,0.9686492,-1.8148333,8.777727,-3.7766173,10.062502,2.6250002
grid,-74,0,180,0.925,-1.9227686,9.850823,-3.7346816,10.062501,2.625
grid,-74,23,162.73419,0.9686492,-1.8942602,11.029192,-3.7330801,10.062501,2.625
grid,-74,24,162.03085,0.97243255,-1.8916532,11.085275,-3.7339268,10.062501,2.625
grid,-74,25,161.33308,0.9763613,-1.888929,11.141622,-3.734918,10.062501,2.625
