sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.7585936,9.903439,0.58437514,7.9062505,2.0625002
grid,-79,0,180,0.9875,-2.6866398,9.903397,0.5845483,7.9062505,2.0625002
grid,-78,0,180,0.975,-2.614686,9.903353,0.5847215,7.9062505,2.0625002
grid,-77,0,180,0.9625,-2.5427318,9.903309,0.58489466,7.9062505,2.0625002
grid,-76,-24,197.52557,0.99624294,-2.5072463,7.9669857,0.5844272,7.9062505,2.0625002
grid,-76,-23,196.8375,0.9925504,-2.5036561,8.0517435,0.5844783,7.9062505,2.0625002
grid,-76,0,180,0.95,-2.4707778,9.903267,0.5850678,7.9062505,2.0625002
grid,-76,23,163.16252,0.9925504,-2.5036561,11.75525,0.5844783,7.9062505,2.0625002
grid,-76,24,162.47444,0.99624294,-2.5072467,11.840044,0.5844272,7.9062505,2.0625002
grid,-75,-27,199.79889,0.99639976,-2.448331,7.7102523,0.584425,7.9062505,2.0625002
grid,-75,-26,199.11974,0.9922355,-2.4439883,7.7955084,0.58448267,7.9062505,2.0625002
grid,-75,-25,198.43497,0.98821175,-2.4398756,7.8806353,0.58453846,7.9062505,2.0625002
grid,-75,-24,197.74469,0.98433036,-2.4359918,7.965616,0.5845922,7.9062505,2.0625002
grid,-75,-23,197.04904,0.98059297,-2.4323332,8.050432,0.584644,7.9062505,2.0625002
grid,-75,0,180,0.9375,-2.398824,9.903223,0.585241,7.9062505,2.0625002
grid,-75,23,162.95097,0.98059297,-2.4323335,11.75648,0.584644,7.9062505,2.0625002
grid,-75,24,162.25533,0.98433036,-2.4359918,11.841333,0.5845922,7.9062505,2.0625002
grid,-75,25,161.56505,0.98821175,-2.439876,11.926353,0.58453846,7.9062505,2.0625002
grid,-75,26,160.88028,0.9922355,-2.4439886,12.011521,0.58448267,7.9062505,2.0625002
grid,-75,27,160.20113,0.99639976,-2.4483318,12.096819,0.584425,7.9062505,2.0625002
grid,-74,-30,202.06792,0.9981232,-2.3920455,7.4522915,0.58440113,7.9062505,2.0625002
grid,-74,-29,201.39983,0.99349445,-2.3869033,7.537843,0.5844652,7.9062505,2.0625002
grid,-74,-28,200.72557,0.98900205,-2.3820014,7.6233287,0.5845275,7.9062505,2.0625002
grid,-74,-27,200.04526,0.9846478,-2.3773382,7.7087293,0.5845878,7.9062505,2.0625002
grid,-74,-26,199.35901,0.9804336,-2.3729117,7.7940254,0.5846462,7.9062505,2.0625002
grid,-74,-25,198.66693,0.9763613,-2.3687196,7.879199,0.5847026,7.9062505,2.0625002
grid,-74,-24,197.96916,0.97243255,-2.3647604,7.9642305,0.58475703,7.9062505,2.0625002
grid,-74,-23,197.26582,0.9686492,-2.361031,8.049102,0.5848094,7.9062505,2.0625002
grid,-74,0,180,0.925,-2.3268702,9.903181,0.5854142,7.9062505,2.0625002
grid,-74,23,162.73419,0.9686492,-2.361031,11.7577305,0.5848094,7.9062505,2.0625002
grid,-74,24,162.03085,0.97243255,-2.3647609,11.842638,0.58475703,7.9062505,2.0625002
grid,-74,25,161.33308,0.9763613,-2.36872,11.92771,0.5847026,7.9062505,2.0625002
grid,-74,26,160.641,0.9804336,-2.3729122,12.012924,0.5846462,7.9062505,2.0625002
grid,-74,27,159.95476,0.9846478,-2.3773384,12.098262,0.5845878,7.9062505,2.0625002
grid,-74,28,159.27444,0.98900205,-2.3820019,12.183705,0.5845275,7.9062505,2.0625002
grid,-74,29,158.60019,0.99349445,-2.3869035,12.269236,0.5844652,7.9062505,2.0625002
grid,-74,30,157.9321,0.9981232,-2.392046,12.354832,0.58440113,7.9062505,2.0625002
grid,-73,-32,203.67055,0.9963214,-2.3325837,7.279412,0.5844261,7.9062505,2.0625002
grid,-73,-31,203.00888,0.991369,-2.326851,7.365054,0.58449465,7.9062505,2.0625002
grid,-73,-30,202.34065,0.9865502,-2.321365,7.4506717,0.5845614,7.9062505,2.0625002
grid,-73,-29,201.66597,0.98186684,-2.316125,7.536245,0.5846263,7.9062505,2.0625002
grid,-73,-28,200.98491,0.97732097,-2.311129,7.621758,0.5846893,7.9062505,2.0625002
grid,-73,-27,200.29758,0.97291446,-2.3063757,7.707193,0.58475035,7.9062505,2.0625002
grid,-73,-26,199.6041,0.9686492,-2.3018641,7.7925296,0.5848094,7.9062505,2.0625002
grid,-73,-25,198.90459,0.9645271,-2.2975903,7.8777485,0.5848666,7.9062505,2.0625002
grid,-73,-24,198.19919,0.96055,-2.2935536,7.962828,0.5849217,7.9062505,2.0625002
grid,-73,-23,197.488,0.9567197,-2.2897503,8.047754,0.58497477,7.9062505,2.0625002
