sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.4074998,8.643001,0.5100001,7.935001,2.07
grid,-79,0,180,0.9875,-2.3447037,8.642963,0.5101512,7.935001,2.07
grid,-78,0,180,0.975,-2.2819078,8.642925,0.51030236,7.935001,2.07
grid,-77,0,180,0.9625,-2.2191112,8.642888,0.51045346,7.935001,2.07
grid,-76,-24,197.52557,0.99624294,-2.188142,6.953006,0.5100455,7.935001,2.07
grid,-76,-23,196.8375,0.9925504,-2.185009,7.0269756,0.5100902,7.935001,2.07
grid,-76,0,180,0.95,-2.156315,8.642851,0.5106046,7.935001,2.07
grid,-76,23,163.16252,0.9925504,-2.185009,10.259127,0.5100902,7.935001,2.07
grid,-76,24,162.47444,0.99624294,-2.1881425,10.333129,0.5100455,7.935001,2.07
grid,-75,-27,199.79889,0.99639976,-2.1367254,6.728947,0.5100436,7.935001,2.07
grid,-75,-26,199.11974,0.9922355,-2.1329353,6.8033524,0.5100939,7.935001,2.07
grid,-75,-25,198.43497,0.98821175,-2.129346,6.8776455,0.5101426,7.935001,2.07
grid,-75,-24,197.74469,0.98433036,-2.1259563,6.9518104,0.51018953,7.935001,2.07
grid,-75,-23,197.04904,0.98059297,-2.1227636,7.025831,0.5102348,7.935001,2.07
grid,-75,0,180,0.9375,-2.0935192,8.642813,0.5107558,7.935001,2.07
grid,-75,23,162.95097,0.98059297,-2.1227639,10.2602005,0.5102348,7.935001,2.07
grid,-75,24,162.25533,0.98433036,-2.1259565,10.334254,0.51018953,7.935001,2.07
grid,-75,25,161.56505,0.98821175,-2.1293464,10.408454,0.5101426,7.935001,2.07
grid,-75,26,160.88028,0.9922355,-2.1329355,10.482781,0.5100939,7.935001,2.07
grid,-75,27,160.20113,0.99639976,-2.136726,10.557223,0.5100436,7.935001,2.07
grid,-74,-30,202.06792,0.9981232,-2.0876033,6.5038176,0.5100228,7.935001,2.07
grid,-74,-29,201.39983,0.99349445,-2.0831153,6.5784817,0.5100787,7.935001,2.07
grid,-74,-28,200.72557,0.98900205,-2.0788374,6.6530867,0.510133,7.935001,2.07
grid,-74,-27,200.04526,0.9846478,-2.0747678,6.727618,0.5101857,7.935001,2.07
grid,-74,-26,199.35901,0.9804336,-2.0709047,6.8020587,0.5102367,7.935001,2.07
grid,-74,-25,198.66693,0.9763613,-2.0672462,6.876392,0.5102859,7.935001,2.07
grid,-74,-24,197.96916,0.97243255,-2.0637908,6.950601,0.5103334,7.935001,2.07
grid,-74,-23,197.26582,0.9686492,-2.0605361,7.0246706,0.51037914,7.935001,2.07
grid,-74,0,180,0.925,-2.0307229,8.642776,0.51090693,7.935001,2.07
grid,-74,23,162.73419,0.9686492,-2.0605364,10.2612915,0.51037914,7.935001,2.07
grid,-74,24,162.03085,0.97243255,-2.0637913,10.335393,0.5103334,7.935001,2.07
grid,-74,25,161.33308,0.9763613,-2.0672467,10.409637,0.5102859,7.935001,2.07
grid,-74,26,160.641,0.9804336,-2.0709052,10.484007,0.5102367,7.935001,2.07
grid,-74,27,159.95476,0.9846478,-2.0747678,10.558483,0.5101857,7.935001,2.07
grid,-74,28,159.27444,0.98900205,-2.0788376,10.633051,0.510133,7.935001,2.07
grid,-74,29,158.60019,0.99349445,-2.0831156,10.707696,0.5100787,7.935001,2.07
grid,-74,30,157.9321,0.9981232,-2.0876036,10.782398,0.5100228,7.935001,2.07
grid,-73,-32,203.67055,0.9963214,-2.0357091,6.352942,0.5100446,7.935001,2.07
grid,-73,-31,203.00888,0.991369,-2.0307062,6.4276843,0.5101044,7.935001,2.07
grid,-73,-30,202.34065,0.9865502,-2.0259185,6.502404,0.51016265,7.935001,2.07
grid,-73,-29,201.66597,0.98186684,-2.0213451,6.577087,0.51021934,7.935001,2.07
grid,-73,-28,200.98491,0.97732097,-2.0169854,6.651716,0.5102743,7.935001,2.07
grid,-73,-27,200.29758,0.97291446,-2.012837,6.7262774,0.5103276,7.935001,2.07
grid,-73,-26,199.6041,0.9686492,-2.0088997,6.800753,0.51037914,7.935001,2.07
grid,-73,-25,198.90459,0.9645271,-2.0051696,6.8751254,0.51042897,7.935001,2.07
grid,-73,-24,198.19919,0.96055,-2.0016465,6.9493775,0.51047707,7.935001,2.07
grid,-73,-23,197.488,0.9567197,-1.9983275,7.0234947,0.5105234,7.935001,2.07
grid,-73,0,180,0.9125,-1.9679267,8.642738,0.5110581,7.935001,2.07
grid,-73,23,162.51201,0.9567197,-1.9983277,10.262397,0.5105234,7.935001,2.07
grid,-73,24,161.80083,0.96055,-2.001647,10.336548,0.51047707,7.935001,2.07
grid,-73,25,161.09543,0.9645271,-2.0051703,10.410834,0.51042897,7.935001,2.07
grid,-73,26,160.39592,0.9686492,-2.0089,10.485243,0.51037914,7.935001,2.07
grid,-73,27,159.70244,0.97291446,-2.0128374,10.559755,0.5103276,7.935001,2.07
grid,-73,28,159.0151,0.97732097,-2.0169854,10.634354,0.5102743,7.935001,2.07
grid,-73,29,158.33405,0.98186684,-2.0213454,10.7090225,0.51021934,7.935001,2.07
grid,-73,30,157.65936,0.9865502,-2.0259194,10.783744,0.51016265,7.935001,2.07
grid,-73,31,156.99113,0.991369,-2.0307066,10.858505,0.5101044,7.935001,2.07
grid,-73,32,156.32947,0.9963214,-2.0357096,10.933289,0.5100446,7.935001,2.07
grid,-72,-34,205.27773,0.9953014,-1.9850979,6.202018,0.5100569,7.935001,2.07
grid,-72,-33,204.62358,0.9900284,-1.9795617,6.2767544,0.51012063,7.935001,2.07
grid,-72,-32,203.9625,0.98488575,-1.9742457,6.3515053,0.5101828,7.935001,2.07
grid,-72,-31,203.29457,0.9798756,-1.9691488,6.426252,0.5102434,7.935001,2.07
grid,-72,-30,202.61987,0.97499996,-1.9642696,6.500983,0.51030236,7.935001,2.07
grid,-72,-29,201.93849,0.97026086,-1.9596082,6.5756826,0.51035964,7.935001,2.07
grid,-72,-28,201.25052,0.9656604,-1.9551642,6.650335,0.5104153,7.935001,2.07
grid,-72,-27,200.55606,0.9612004,-1.9509354,6.7249236,0.5104692,7.935001,2.07
grid,-72,-26,199.85522,0.9568829,-1.9469204,6.7994328,0.5105214,7.935001,2.07
