sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-0.86398685,11.283402,0,9.3150015,2.43
grid,-79,0,180,0.9875,-0.850487,11.2834015,0,9.3150015,2.43
grid,-78,0,180,0.975,-0.83698714,11.283401,0,9.3150015,2.43
grid,-77,0,180,0.9625,-0.8234872,11.283399,0,9.3150015,2.43
grid,-76,-24,197.52557,0.99624294,-0.5247331,10.864368,0,9.3150015,2.43
grid,-76,-23,196.8375,0.9925504,-0.53509915,10.882312,0,9.3150015,2.43
grid,-76,0,180,0.95,-0.8099873,11.283398,0,9.3150015,2.43
grid,-76,23,163.16252,0.9925504,-0.5350994,12.286124,0,9.3150015,2.43
grid,-76,24,162.47444,0.99624294,-0.5247334,12.330985,0,9.3150015,2.43
grid,-75,-27,199.79889,0.99639976,-0.48136327,10.809939,0,9.3150015,2.43
grid,-75,-26,199.11974,0.9922355,-0.4913861,10.828091,0,9.3150015,2.43
grid,-75,-25,198.43497,0.98821175,-0.5015087,10.846178,0,9.3150015,2.43
grid,-75,-24,197.74469,0.98433036,-0.511735,10.8642025,0,9.3150015,2.43
grid,-75,-23,197.04904,0.98059297,-0.52206796,10.882164,0,9.3150015,2.43
grid,-75,0,180,0.9375,-0.7964875,11.283396,0,9.3150015,2.43
grid,-75,23,162.95097,0.98059297,-0.52206826,12.2864895,0,9.3150015,2.43
grid,-75,24,162.25533,0.98433036,-0.5117353,12.331399,0,9.3150015,2.43
grid,-75,25,161.56505,0.98821175,-0.5015091,12.376459,0,9.3150015,2.43
grid,-75,26,160.88028,0.9922355,-0.49138635,12.421678,0,9.3150015,2.43
grid,-75,27,160.20113,0.99639976,-0.48136356,12.467058,0,9.3150015,2.43
grid,-74,-30,202.06792,0.9981232,-0.43908992,10.754766,0,9.3150015,2.43
grid,-74,-29,201.39983,0.99349445,-0.4487946,10.773148,0,9.3150015,2.43
grid,-74,-28,200.72557,0.98900205,-0.4585906,10.791458,0,9.3150015,2.43
grid,-74,-27,200.04526,0.9846478,-0.468481,10.809701,0,9.3150015,2.43
grid,-74,-26,199.35901,0.9804336,-0.47846842,10.827875,0,9.3150015,2.43
grid,-74,-25,198.66693,0.9763613,-0.48855644,10.845984,0,9.3150015,2.43
grid,-74,-24,197.96916,0.97243255,-0.49874812,10.864028,0,9.3150015,2.43
grid,-74,-23,197.26582,0.9686492,-0.50904673,10.882011,0,9.3150015,2.43
grid,-74,0,180,0.925,-0.78298765,11.283395,0,9.3150015,2.43
grid,-74,23,162.73419,0.9686492,-0.50904703,12.28687,0,9.3150015,2.43
grid,-74,24,162.03085,0.97243255,-0.49874842,12.331826,0,9.3150015,2.43
grid,-74,25,161.33308,0.9763613,-0.48855674,12.37694,0,9.3150015,2.43
grid,-74,26,160.641,0.9804336,-0.4784687,12.422213,0,9.3150015,2.43
grid,-74,27,159.95476,0.9846478,-0.46848127,12.467651,0,9.3150015,2.43
grid,-74,28,159.27444,0.98900205,-0.45859092,12.513259,0,9.3150015,2.43
