sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.53,6.3112497,6.687842E-08,6.3048754,1.64475
grid,-79,0,180,0.9875,-1.5045,6.311329,6.5763786E-08,6.3048754,1.64475
grid,-78,0,180,0.975,-1.479,6.3114076,6.464914E-08,6.3048754,1.64475
grid,-77,0,180,0.9625,-1.4534999,6.3114862,6.35345E-08,6.3048754,1.64475
grid,-76,-24,197.52557,0.99624294,-1.0474019,6.034265,4.578339E-08,6.3048754,1.64475
grid,-76,-23,196.8375,0.9925504,-1.0602069,6.0461507,4.6343118E-08,6.3048754,1.64475
grid,-76,0,180,0.95,-1.428,6.311565,6.241986E-08,6.3048754,1.64475
grid,-76,23,163.16252,0.9925504,-1.0602074,6.6901035,4.634314E-08,6.3048754,1.64475
grid,-76,24,162.47444,0.99624294,-1.0474024,6.707027,4.5783413E-08,6.3048754,1.64475
grid,-75,-27,199.79889,0.99639976,-0.98603183,5.998283,4.310082E-08,6.3048754,1.64475
grid,-75,-26,199.11974,0.9922355,-0.99811,6.0103087,4.3628773E-08,6.3048754,1.64475
grid,-75,-25,198.43497,0.98821175,-1.0104016,6.0222907,4.4166054E-08,6.3048754,1.64475
grid,-75,-24,197.74469,0.98433036,-1.0229124,6.03423,4.471292E-08,6.3048754,1.64475
grid,-75,-23,197.04904,0.98059297,-1.0356476,6.046129,4.5269594E-08,6.3048754,1.64475
grid,-75,0,180,0.9375,-1.4024999,6.311644,6.130522E-08,6.3048754,1.64475
grid,-75,23,162.95097,0.98059297,-1.035648,6.690317,4.5269612E-08,6.3048754,1.64475
grid,-75,24,162.25533,0.98433036,-1.0229127,6.7072587,4.4712937E-08,6.3048754,1.64475
grid,-75,25,161.56505,0.98821175,-1.010402,6.724257,4.416607E-08,6.3048754,1.64475
grid,-75,26,160.88028,0.9922355,-0.99811035,6.741314,4.3628788E-08,6.3048754,1.64475
grid,-75,27,160.20113,0.99639976,-0.9860322,6.7584314,4.3100837E-08,6.3048754,1.64475
grid,-74,-30,202.06792,0.9981232,-0.92701405,5.961799,4.0521073E-08,6.3048754,1.64475
grid,-74,-29,201.39983,0.99349445,-0.9384048,5.9739795,4.101898E-08,6.3048754,1.64475
grid,-74,-28,200.72557,0.98900205,-0.9499946,5.9861126,4.1525585E-08,6.3048754,1.64475
