sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-3.4237208,4.442436,1.4965559E-07,7.7763004,2.0286002
grid,-79,0,180,0.9875,-3.3809242,4.4424357,1.477849E-07,7.7763004,2.0286002
grid,-78,0,180,0.975,-3.3381279,4.4424353,1.459142E-07,7.7763004,2.0286002
grid,-77,0,180,0.9625,-3.2953312,4.4424343,1.440435E-07,7.7763004,2.0286002
grid,-76,-24,197.52557,0.99624294,-3.2078154,3.5281692,1.4021805E-07,7.777809,2.0289938
grid,-76,-23,196.8375,0.9925504,-3.2105696,3.5642893,1.4033844E-07,7.777707,2.0289671
grid,-76,0,180,0.95,-3.2525346,4.442434,1.421728E-07,7.7763004,2.0286002
grid,-76,23,163.16252,0.9925504,-3.1549501,5.2590075,1.3790725E-07,7.7763004,2.0286002
grid,-76,24,162.47444,0.99624294,-3.1480052,5.2909803,1.3760368E-07,7.7763004,2.0286002
grid,-75,-27,199.79889,0.99639976,-3.156297,3.4214072,1.3796613E-07,7.778137,2.0290794
grid,-75,-26,199.11974,0.9922355,-3.159052,3.4570203,1.3808653E-07,7.778032,2.029052
grid,-75,-25,198.43497,0.98821175,-3.161818,3.4927878,1.3820744E-07,7.7779274,2.0290246
grid,-75,-24,197.74469,0.98433036,-3.164588,3.5287125,1.3832855E-07,7.777823,2.0289974
grid,-75,-23,197.04904,0.98059297,-3.167356,3.5647964,1.3844954E-07,7.7777205,2.0289707
grid,-75,0,180,0.9375,-3.2097383,4.4424334,1.403021E-07,7.7763004,2.0286002
grid,-75,23,162.95097,0.98059297,-3.1113467,5.2579575,1.3600129E-07,7.7763004,2.0286002
grid,-75,24,162.25533,0.98433036,-3.1043708,5.289874,1.3569635E-07,7.7763004,2.0286002
grid,-75,25,161.56505,0.98821175,-3.0973067,5.3216133,1.3538758E-07,7.7763004,2.0286002
grid,-75,26,160.88028,0.9922355,-3.0901682,5.3531876,1.3507554E-07,7.7763004,2.0286002
grid,-75,27,160.20113,0.99639976,-3.0829682,5.38461,1.3476081E-07,7.7763004,2.0286002
grid,-74,-30,202.06792,0.9981232,-3.1049032,3.3162704,1.3571963E-07,7.7784734,2.029167
grid,-74,-29,201.39983,0.99349445,-3.1075852,3.35139,1.3583687E-07,7.778367,2.0291393
grid,-74,-28,200.72557,0.98900205,-3.1103003,3.3866587,1.3595555E-07,7.778261,2.0291116
grid,-74,-27,200.04526,0.9846478,-3.1130414,3.422079,1.3607536E-07,7.778154,2.0290837
grid,-74,-26,199.35901,0.9804336,-3.1158023,3.457652,1.3619604E-07,7.7780485,2.029056
grid,-74,-25,198.66693,0.9763613,-3.1185775,3.4933813,1.3631734E-07,7.7779436,2.029029
grid,-74,-24,197.96916,0.97243255,-3.1213582,3.5292673,1.3643889E-07,7.777838,2.0290015
grid,-74,-23,197.26582,0.9686492,-3.1241386,3.565313,1.3656043E-07,7.777735,2.0289745
grid,-74,0,180,0.925,-3.166942,4.4424324,1.3843142E-07,7.7763004,2.0286002
grid,-74,23,162.73419,0.9686492,-3.0677328,5.256891,1.3409486E-07,7.7763004,2.0286002
grid,-74,24,162.03085,0.97243255,-3.0607274,5.2887497,1.3378865E-07,7.7763004,2.0286002
grid,-74,25,161.33308,0.9763613,-3.0536373,5.320433,1.3347872E-07,7.7763004,2.0286002
grid,-74,26,160.641,0.9804336,-3.046476,5.3519535,1.3316568E-07,7.7763004,2.0286002
grid,-74,27,159.95476,0.9846478,-3.0392573,5.3833237,1.3285015E-07,7.7763004,2.0286002
grid,-74,28,159.27444,0.98900205,-3.0319936,5.4145565,1.3253265E-07,7.7763004,2.0286002
grid,-74,29,158.60019,0.99349445,-3.0246975,5.445662,1.3221373E-07,7.7763004,2.0286002
grid,-74,30,157.9321,0.9981232,-3.0173814,5.476652,1.3189393E-07,7.7763004,2.0286002
grid,-73,-32,203.67055,0.9963214,-3.0564137,3.2473602,1.3360008E-07,7.778704,2.0292273
grid,-73,-31,203.00888,0.991369,-3.0590067,3.2821455,1.3371343E-07,7.7785993,2.0291998
grid,-73,-30,202.34065,0.9865502,-3.0616455,3.3170767,1.3382876E-07,7.778492,2.029172
grid,-73,-29,201.66597,0.98186684,-3.0643258,3.3521552,1.3394592E-07,7.7783856,2.0291443
grid,-73,-28,200.98491,0.97732097,-3.0670412,3.3873832,1.3406462E-07,7.778279,2.0291164
grid,-73,-27,200.29758,0.97291446,-3.069785,3.4227636,1.3418456E-07,7.778172,2.0290885
grid,-73,-26,199.6041,0.9686492,-3.0725513,3.458297,1.343055E-07,7.778065,2.0290606
grid,-73,-25,198.90459,0.9645271,-3.0753336,3.4939866,1.3442711E-07,7.777959,2.029033
grid,-73,-24,198.19919,0.96055,-3.0781245,3.5298333,1.345491E-07,7.7778544,2.0290055
grid,-73,-23,197.488,0.9567197,-3.0809174,3.5658412,1.3467117E-07,7.77775,2.0289783
grid,-73,0,180,0.9125,-3.1241453,4.442432,1.3656071E-07,7.7763004,2.0286002
grid,-73,23,162.51201,0.9567197,-3.0241098,5.255805,1.3218805E-07,7.7763004,2.0286002
grid,-73,24,161.80083,0.96055,-3.0170753,5.2876062,1.3188054E-07,7.7763004,2.0286002
grid,-73,25,161.09543,0.9645271,-3.0099597,5.3192334,1.3156952E-07,7.7763004,2.0286002
grid,-73,26,160.39592,0.9686492,-3.002777,5.3507,1.3125555E-07,7.7763004,2.0286002
grid,-73,27,159.70244,0.97291446,-2.9955404,5.382019,1.3093923E-07,7.7763004,2.0286002
grid,-73,28,159.0151,0.97732097,-2.9882631,5.413203,1.3062113E-07,7.7763004,2.0286002
grid,-73,29,158.33405,0.98186684,-2.9809582,5.444262,1.3030181E-07,7.7763004,2.0286002
grid,-73,30,157.65936,0.9865502,-2.9736378,5.4752083,1.2998183E-07,7.7763004,2.0286002
grid,-73,31,156.99113,0.991369,-2.9663126,5.506054,1.2966164E-07,7.7763004,2.0286002
grid,-73,32,156.32947,0.9963214,-2.9589949,5.5368075,1.2934177E-07,7.7763004,2.0286002
grid,-72,-34,205.27773,0.9953014,-3.0081732,3.179204,1.3149142E-07,7.7789316,2.0292866
grid,-72,-33,204.62358,0.9900284,-3.0106428,3.2136626,1.3159938E-07,7.778828,2.0292597
grid,-72,-32,203.9625,0.98488575,-3.013173,3.2482634,1.3170997E-07,7.7787237,2.0292323
grid,-72,-31,203.29457,0.9798756,-3.0157568,3.283007,1.3182292E-07,7.7786183,2.0292048
grid,-72,-30,202.61987,0.97499996,-3.01839,3.3178968,1.3193801E-07,7.7785115,2.029177
grid,-72,-29,201.93849,0.97026086,-3.0210667,3.3529344,1.32055E-07,7.778404,2.029149
grid,-72,-28,201.25052,0.9656604,-3.0237813,3.3881214,1.3217367E-07,7.778297,2.0291212
grid,-72,-27,200.55606,0.9612004,-3.0265274,3.4234605,1.322937E-07,7.7781897,2.029093
grid,-72,-26,199.85522,0.9568829,-3.0292985,3.4589548,1.3241484E-07,7.7780824,2.0290651
grid,-72,-25,199.14816,0.9527099,-3.0320876,3.4946032,1.3253674E-07,7.7779756,2.0290372
grid,-72,-24,198.43497,0.94868326,-3.0348878,3.5304112,1.3265915E-07,7.777869,2.0290096
grid,-72,-23,197.7158,0.94480485,-3.037692,3.56638,1.3278174E-07,7.7777653,2.0289822
grid,-72,0,180,0.9,-3.0813487,4.4424314,1.3469003E-07,7.7763004,2.0286002
grid,-72,23,162.28421,0.94480485,-2.9804769,5.254701,1.3028078E-07,7.7763004,2.0286002
grid,-72,24,161.56505,0.94868326,-2.9734144,5.286444,1.2997208E-07,7.7763004,2.0286002
grid,-72,25,160.85185,0.9527099,-2.9662738,5.318016,1.2965995E-07,7.7763004,2.0286002
grid,-72,26,160.14479,0.9568829,-2.959071,5.3494287,1.293451E-07,7.7763004,2.0286002
grid,-72,27,159.44395,0.9612004,-2.951818,5.3806963,1.2902805E-07,7.7763004,2.0286002
grid,-72,28,158.7495,0.9656604,-2.9445286,5.411831,1.2870943E-07,7.7763004,2.0286002
grid,-72,29,158.06152,0.97026086,-2.9372158,5.442844,1.2838979E-07,7.7763004,2.0286002
grid,-72,30,157.38014,0.97499996,-2.929892,5.473748,1.2806964E-07,7.7763004,2.0286002
grid,-72,31,156.70544,0.9798756,-2.922569,5.504553,1.2774954E-07,7.7763004,2.0286002
grid,-72,32,156.03752,0.98488575,-2.915258,5.5352707,1.2742996E-07,7.7763004,2.0286002
grid,-72,33,155.37643,0.9900284,-2.9079683,5.5659113,1.2711132E-07,7.7763004,2.0286002
grid,-72,34,154.72229,0.9953014,-2.900713,5.596484,1.2679419E-07,7.7763004,2.0286002
grid,-71,-36,206.88695,0.9950659,-2.9602652,3.1117866,1.2939729E-07,7.7791557,2.029345
grid,-71,-35,206.24136,0.98947585,-2.9625802,3.1459274,1.294985E-07,7.7790546,2.0293186
grid,-71,-34,205.58852,0.98401284,-2.9649677,3.1802053,1.2960285E-07,7.778953,2.029292
grid,-71,-33,204.9285,0.97867894,-2.967421,3.2146223,1.2971009E-07,7.778849,2.029265
grid,-71,-32,204.2613,0.9734764,-2.969938,3.2491813,1.2982011E-07,7.778744,2.0292377
grid,-71,-31,203.58704,0.9684072,-2.972512,3.283884,1.2993262E-07,7.778638,2.0292099
grid,-71,-30,202.90578,0.96347356,-2.9751377,3.3187323,1.300474E-07,7.778531,2.0291822
grid,-71,-29,202.2176,0.9586775,-2.97781,3.353728,1.301642E-07,7.7784233,2.029154
grid,-71,-28,201.52261,0.9540211,-2.9805229,3.388874,1.3028279E-07,7.778316,2.029126
grid,-71,-27,200.8209,0.94950646,-2.9832697,3.4241722,1.3040287E-07,7.7782073,2.0290976
grid,-71,-26,200.11261,0.94513553,-2.9860444,3.4596243,1.3052414E-07,7.7781,2.0290697
grid,-71,-25,199.39783,0.94091046,-2.9888391,3.495233,1.306463E-07,7.777992,2.0290413
grid,-71,-24,198.67671,0.9368331,-2.9916482,3.5310013,1.3076911E-07,7.777885,2.0290136
grid,-71,-23,197.94942,0.93290544,-2.994464,3.5669303,1.3089218E-07,7.7777805,2.0289862
grid,-71,0,180,0.8875,-3.038552,4.4424305,1.3281932E-07,7.7763004,2.0286002
grid,-71,23,162.0506,0.93290544,-2.9368346,5.253578,1.283731E-07,7.7763004,2.0286002
grid,-71,24,161.3233,0.9368331,-2.9297452,5.2852626,1.2806322E-07,7.7763004,2.0286002
grid,-71,25,160.60219,0.94091046,-2.9225814,5.3167787,1.2775008E-07,7.7763004,2.0286002
grid,-71,26,159.8874,0.94513553,-2.9153583,5.3481383,1.2743436E-07,7.7763004,2.0286002
grid,-71,27,159.17911,0.94950646,-2.9080904,5.3793545,1.2711666E-07,7.7763004,2.0286002
grid,-71,28,158.4774,0.9540211,-2.9007907,5.410441,1.2679757E-07,7.7763004,2.0286002
grid,-71,29,157.78241,0.9586775,-2.8934717,5.4414086,1.2647766E-07,7.7763004,2.0286002
grid,-71,30,157.09422,0.96347356,-2.8861465,5.472271,1.2615747E-07,7.7763004,2.0286002
grid,-71,31,156.41298,0.9684072,-2.878828,5.503036,1.2583757E-07,7.7763004,2.0286002
grid,-71,32,155.73871,0.9734764,-2.8715246,5.533719,1.2551833E-07,7.7763004,2.0286002
grid,-71,33,155.07152,0.97867894,-2.8642497,5.5643277,1.2520033E-07,7.7763004,2.0286002
grid,-71,34,154.4115,0.98401284,-2.8570137,5.5948715,1.2488402E-07,7.7763004,2.0286002
grid,-71,35,153.75865,0.98947585,-2.849824,5.625363,1.2456977E-07,7.7763004,2.0286002
grid,-71,36,153.11307,0.9950659,-2.8426917,5.655809,1.24258E-07,7.7763004,2.0286002
grid,-70,-38,208.49565,0.99561536,-2.9127707,3.0450954,1.2732127E-07,7.779371,2.029401
grid,-70,-37,207.85966,0.9897127,-2.914901,3.0789251,1.2741437E-07,7.779274,2.029376
grid,-70,-36,207.21613,0.98393345,-2.9171138,3.1128886,1.2751109E-07,7.779176,2.0293503
grid,-70,-35,206.56506,0.97827977,-2.919406,3.1469877,1.2761129E-07,7.7790766,2.0293243
grid,-70,-34,205.90652,0.9727538,-2.9217715,3.1812236,1.2771469E-07,7.778974,2.0292976
grid,-70,-33,205.24054,0.9673579,-2.9242082,3.215599,1.2782118E-07,7.7788696,2.0292704
grid,-70,-32,204.56718,0.96209407,-2.92671,3.2501166,1.2793056E-07,7.7787647,2.029243
grid,-70,-31,203.8865,0.9569646,-2.9292717,3.284777,1.2804253E-07,7.778658,2.029215
grid,-70,-30,203.19861,0.95197165,-2.9318888,3.3195825,1.2815693E-07,7.7785506,2.0291872
grid,-70,-29,202.50354,0.9471173,-2.934555,3.3545365,1.2827348E-07,7.7784424,2.029159
grid,-70,-28,201.80142,0.94240385,-2.9372654,3.3896406,1.2839195E-07,7.778334,2.0291307
grid,-70,-27,201.09236,0.9378333,-2.9400115,3.4248967,1.2851199E-07,7.7782245,2.029102
grid,-70,-26,200.37645,0.9334077,-2.9427893,3.460308,1.2863339E-07,7.7781177,2.0290742
grid,-70,-25,199.65384,0.9291293,-2.9455895,3.495876,1.2875581E-07,7.778009,2.0290458
grid,-70,-24,198.92465,0.925,-2.9484067,3.5316033,1.2887894E-07,7.7779016,2.029018
grid,-70,-23,198.18906,0.9210219,-2.9512317,3.5674915,1.2900243E-07,7.7777953,2.0289903
grid,-70,0,180,0.875,-2.9957557,4.44243,1.3094864E-07,7.7763004,2.0286002
grid,-70,23,161.81096,0.9210219,-2.8931832,5.2524366,1.2646505E-07,7.7763004,2.0286002
grid,-70,24,161.07536,0.925,-2.8860672,5.2840624,1.2615399E-07,7.7763004,2.0286002
grid,-70,25,160.34618,0.9291293,-2.878881,5.315522,1.2583988E-07,7.7763004,2.0286002
grid,-70,26,159.62357,0.9334077,-2.8716397,5.3468285,1.2552336E-07,7.7763004,2.0286002
grid,-70,27,158.90765,0.9378333,-2.8643582,5.3779945,1.2520508E-07,7.7763004,2.0286002
grid,-70,28,158.1986,0.94240385,-2.8570495,5.4090323,1.248856E-07,7.7763004,2.0286002
