sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-4.4052753,9.678531,-0.015499353,12.398438,3.234375
grid,-79,0,180,0.9875,-4.328123,9.675316,-0.015628695,12.398439,3.234375
grid,-78,0,180,0.975,-4.2509184,9.6721,-0.015630484,12.398439,3.234375
grid,-77,0,180,0.9625,-4.173713,9.668884,-0.015631914,12.398439,3.234375
grid,-76,-24,197.52557,0.99624294,-4.174738,8.560835,-0.012321472,12.398439,3.234375
grid,-76,-23,196.8375,0.9925504,-4.1683254,8.603723,-0.012558937,12.398439,3.234375
grid,-76,0,180,0.95,-4.096508,9.665669,-0.015633464,12.398439,3.234375
grid,-76,23,163.16252,0.9925504,-4.1799126,10.749506,-0.014712572,12.398439,3.234375
grid,-76,24,162.47444,0.99624294,-4.1872196,10.794292,-0.014641285,12.398439,3.234375
grid,-75,-27,199.79889,0.99639976,-4.1196585,8.431415,-0.011540055,12.398439,3.234375
grid,-75,-26,199.11974,0.9922355,-4.1123714,8.473632,-0.011795282,12.398439,3.234375
grid,-75,-25,198.43497,0.98821175,-4.1053452,8.516044,-0.012045503,12.398439,3.234375
grid,-75,-24,197.74469,0.98433036,-4.098583,8.558657,-0.012290597,12.398439,3.234375
grid,-75,-23,197.04904,0.98059297,-4.092088,8.601479,-0.012530088,12.398439,3.234375
grid,-75,0,180,0.9375,-4.0193033,9.662455,-0.015635014,12.398439,3.234375
grid,-75,23,162.95097,0.98059297,-4.103792,10.745598,-0.014704943,12.398439,3.234375
grid,-75,24,162.25533,0.98433036,-4.111188,10.790342,-0.0146330595,12.398439,3.234375
grid,-75,25,161.56505,0.98821175,-4.118873,10.834952,-0.014559865,12.398439,3.234375
grid,-75,26,160.88028,0.9922355,-4.126843,10.879432,-0.014484644,12.398439,3.234375
grid,-75,27,160.20113,0.99639976,-4.135092,10.923792,-0.01440835,12.398439,3.234375
grid,-74,-30,202.06792,0.9981232,-4.067492,8.304111,-0.010705233,12.398439,3.234375
grid,-74,-29,201.39983,0.99349445,-4.0593405,8.345718,-0.010975361,12.398439,3.234375
grid,-74,-28,200.72557,0.98900205,-4.051443,8.387501,-0.011241436,12.398439,3.234375
grid,-74,-27,200.04526,0.9846478,-4.0438023,8.429462,-0.0115031,12.398439,3.234375
grid,-74,-26,199.35901,0.9804336,-4.0364223,8.471611,-0.011760354,12.398439,3.234375
grid,-74,-25,198.66693,0.9763613,-4.0293064,8.513955,-0.0120123625,12.398439,3.234375
grid,-74,-24,197.96916,0.97243255,-4.022456,8.5565,-0.0122590065,12.398439,3.234375
grid,-74,-23,197.26582,0.9686492,-4.0158763,8.599255,-0.0124999285,12.398439,3.234375
grid,-74,0,180,0.925,-3.9420984,9.65924,-0.015636563,12.398439,3.234375
grid,-74,23,162.73419,0.9686492,-4.027698,10.741677,-0.014696956,12.398439,3.234375
grid,-74,24,162.03085,0.97243255,-4.0351877,10.786378,-0.014624834,12.398439,3.234375
grid,-74,25,161.33308,0.9763613,-4.042967,10.830945,-0.014550805,12.398439,3.234375
grid,-74,26,160.641,0.9804336,-4.0510325,10.875383,-0.014475346,12.398439,3.234375
grid,-74,27,159.95476,0.9846478,-4.059381,10.9197,-0.014398336,12.398439,3.234375
grid,-74,28,159.27444,0.98900205,-4.0680075,10.963902,-0.014319897,12.398439,3.234375
grid,-74,29,158.60019,0.99349445,-4.076908,11.007994,-0.014240146,12.398439,3.234375
grid,-74,30,157.9321,0.9981232,-4.0860786,11.051983,-0.014159083,12.398439,3.234375
grid,-73,-32,203.67055,0.9963214,-4.009229,8.219803,-0.010108113,12.398439,3.234375
grid,-73,-31,203.00888,0.991369,-4.000475,8.261016,-0.010387182,12.398439,3.234375
grid,-73,-30,202.34065,0.9865502,-3.9919696,8.302389,-0.010662556,12.398439,3.234375
grid,-73,-29,201.66597,0.98186684,-3.9837165,8.343928,-0.010934472,12.398439,3.234375
grid,-73,-28,200.98491,0.97732097,-3.975719,8.385641,-0.011202335,12.398439,3.234375
grid,-73,-27,200.29758,0.97291446,-3.9679813,8.427534,-0.011465669,12.398439,3.234375
grid,-73,-26,199.6041,0.9686492,-3.9605064,8.469614,-0.011724472,12.398439,3.234375
grid,-73,-25,198.90459,0.9645271,-3.9532971,8.51189,-0.011978269,12.398439,3.234375
grid,-73,-24,198.19919,0.96055,-3.946358,8.554366,-0.012226939,12.398439,3.234375
grid,-73,-23,197.488,0.9567197,-3.9396908,8.597054,-0.012469649,12.398439,3.234375
grid,-73,0,180,0.9125,-3.8648934,9.656024,-0.015637994,12.398439,3.234375
grid,-73,23,162.51201,0.9567197,-3.9516325,10.737743,-0.014689207,12.398439,3.234375
grid,-73,24,161.80083,0.96055,-3.9592156,10.7824,-0.014616489,12.398439,3.234375
grid,-73,25,161.09543,0.9645271,-3.967091,10.826922,-0.014541864,12.398439,3.234375
grid,-73,26,160.39592,0.9686492,-3.9752579,10.871318,-0.014465809,12.398439,3.234375
grid,-73,27,159.70244,0.97291446,-3.9837084,10.915592,-0.014388084,12.398439,3.234375
grid,-73,28,159.0151,0.97732097,-3.9924374,10.959752,-0.014309287,12.398439,3.234375
grid,-73,29,158.33405,0.98186684,-4.001445,11.003803,-0.01422894,12.398439,3.234375
grid,-73,30,157.65936,0.9865502,-4.010722,11.047751,-0.014147401,12.398439,3.234375
grid,-73,31,156.99113,0.991369,-4.0202656,11.091604,-0.014065027,12.398439,3.234375
grid,-73,32,156.32947,0.9963214,-4.0300713,11.135364,-0.013981342,12.398439,3.234375
grid,-72,-34,205.27773,0.9953014,-3.9524198,8.13641,-0.009492397,12.398439,3.234375
grid,-72,-33,204.62358,0.9900284,-3.9430695,8.177255,-0.009778738,12.398439,3.234375
