sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.1875,8.146582,9.561867E-08,7.7265635,2.015625
grid,-79,0,180,0.9875,-2.140625,8.146582,9.35697E-08,7.7265635,2.015625
grid,-78,0,180,0.975,-2.09375,8.146581,9.1520725E-08,7.7265635,2.015625
grid,-77,0,180,0.9625,-2.046875,8.14658,8.947175E-08,7.7265635,2.015625
grid,-76,-24,197.52557,0.99624294,-1.567052,7.0796223,6.8498025E-08,7.7265635,2.015625
grid,-76,-23,196.8375,0.9925504,-1.5791707,7.125312,6.902775E-08,7.7265635,2.015625
grid,-76,0,180,0.95,-2,8.14658,8.742278E-08,7.7265635,2.015625
grid,-76,23,163.16252,0.9925504,-1.8577507,9.399962,8.120486E-08,7.7265635,2.015625
grid,-76,24,162.47444,0.99624294,-1.8580952,9.4560375,8.121992E-08,7.7265635,2.015625
grid,-75,-27,199.79889,0.99639976,-1.488879,6.941033,6.5080975E-08,7.7265635,2.015625
grid,-75,-26,199.11974,0.9922355,-1.4995291,6.9872513,6.554651E-08,7.7265635,2.015625
grid,-75,-25,198.43497,0.98821175,-1.5106131,7.0333056,6.6031E-08,7.7265635,2.015625
grid,-75,-24,197.74469,0.98433036,-1.5221399,7.0792,6.653485E-08,7.7265635,2.015625
grid,-75,-23,197.04904,0.98059297,-1.5341182,7.124938,6.705844E-08,7.7265635,2.015625
grid,-75,0,180,0.9375,-1.953125,8.14658,8.537381E-08,7.7265635,2.015625
grid,-75,23,162.95097,0.98059297,-1.8127999,9.40042,7.924E-08,7.7265635,2.015625
grid,-75,24,162.25533,0.98433036,-1.8132982,9.456554,7.926178E-08,7.7265635,2.015625
grid,-75,25,161.56505,0.98821175,-1.8142905,9.512879,7.930516E-08,7.7265635,2.015625
grid,-75,26,160.88028,0.9922355,-1.8157692,9.569401,7.936979E-08,7.7265635,2.015625
grid,-75,27,160.20113,0.99639976,-1.8177261,9.626125,7.945534E-08,7.7265635,2.015625
grid,-74,-30,202.06792,0.9981232,-1.4155036,6.800548,6.1873635E-08,7.7265635,2.015625
grid,-74,-29,201.39983,0.99349445,-1.4247444,6.847351,6.227756E-08,7.7265635,2.015625
grid,-74,-28,200.72557,0.98900205,-1.4343953,6.893976,6.2699414E-08,7.7265635,2.015625
grid,-74,-27,200.04526,0.9846478,-1.4444649,6.940427,6.3139574E-08,7.7265635,2.015625
grid,-74,-26,199.35901,0.9804336,-1.4549618,6.9867043,6.35984E-08,7.7265635,2.015625
grid,-74,-25,198.66693,0.9763613,-1.4658954,7.032815,6.407633E-08,7.7265635,2.015625
grid,-74,-24,197.96916,0.97243255,-1.4772747,7.078761,6.4573726E-08,7.7265635,2.015625
grid,-74,-23,197.26582,0.9686492,-1.4891086,7.124549,6.5091E-08,7.7265635,2.015625
grid,-74,0,180,0.925,-1.90625,8.146579,8.332484E-08,7.7265635,2.015625
grid,-74,23,162.73419,0.9686492,-1.7678962,9.400896,7.72772E-08,7.7265635,2.015625
grid,-74,24,162.03085,0.97243255,-1.7685521,9.45709,7.730587E-08,7.7265635,2.015625
grid,-74,25,161.33308,0.9763613,-1.7697062,9.51348,7.7356326E-08,7.7265635,2.015625
grid,-74,26,160.641,0.9804336,-1.7713504,9.570071,7.74282E-08,7.7265635,2.015625
grid,-74,27,159.95476,0.9846478,-1.7734776,9.626867,7.7521165E-08,7.7265635,2.015625
grid,-74,28,159.27444,0.98900205,-1.7760782,9.683875,7.763485E-08,7.7265635,2.015625
grid,-74,29,158.60019,0.99349445,-1.779146,9.741097,7.776894E-08,7.7265635,2.015625
