sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.7762516,9.378714,-0.49459484,8.154939,2.1273751
grid,-79,0,180,0.9875,-2.7262747,9.386288,-0.48843262,8.154939,2.1273751
grid,-78,0,180,0.975,-2.6762989,9.393862,-0.48226994,8.154939,2.1273751
grid,-77,0,180,0.9625,-2.626323,9.401434,-0.47610694,8.154939,2.1273751
grid,-76,-24,197.52557,0.99624294,-2.6711986,8.354592,-0.38049597,8.154939,2.1273751
grid,-76,-23,196.8375,0.9925504,-2.6639752,8.398445,-0.38492274,8.154939,2.1273751
grid,-76,0,180,0.95,-2.576348,9.409006,-0.4699435,8.154939,2.1273751
grid,-76,23,163.16252,0.9925504,-2.6347916,10.586818,-0.5243388,8.154939,2.1273751
grid,-76,24,162.47444,0.99624294,-2.640288,10.6430435,-0.5266183,8.154939,2.1273751
grid,-75,-27,199.79889,0.99639976,-2.645746,8.23068,-0.36074626,8.154939,2.1273751
grid,-75,-26,199.11974,0.9922355,-2.6376898,8.27451,-0.36520374,8.154939,2.1273751
grid,-75,-25,198.43497,0.98821175,-2.6298795,8.318346,-0.36965743,8.154939,2.1273751
grid,-75,-24,197.74469,0.98433036,-2.6223204,8.362191,-0.37410304,8.154939,2.1273751
grid,-75,-23,197.04904,0.98059297,-2.6150167,8.406044,-0.3785352,8.154939,2.1273751
grid,-75,0,180,0.9375,-2.526374,9.416576,-0.46377984,8.154939,2.1273751
grid,-75,23,162.95097,0.98059297,-2.5856707,10.595884,-0.51815856,8.154939,2.1273751
grid,-75,24,162.25533,0.98433036,-2.5912404,10.652182,-0.5204356,8.154939,2.1273751
grid,-75,25,161.56505,0.98821175,-2.5970504,10.708692,-0.5227034,8.154939,2.1273751
grid,-75,26,160.88028,0.9922355,-2.6030986,10.765394,-0.5249623,8.154939,2.1273751
grid,-75,27,160.20113,0.99639976,-2.6093824,10.82227,-0.5272111,8.154939,2.1273751
grid,-74,-30,202.06792,0.9981232,-2.6230242,8.106869,-0.341002,8.154939,2.1273751
grid,-74,-29,201.39983,0.99349445,-2.614165,8.150666,-0.34544048,8.154939,2.1273751
grid,-74,-28,200.72557,0.98900205,-2.6055388,8.194474,-0.3498897,8.154939,2.1273751
grid,-74,-27,200.04526,0.9846478,-2.5971518,8.238291,-0.35434553,8.154939,2.1273751
grid,-74,-26,199.35901,0.9804336,-2.5890076,8.282116,-0.35880375,8.154939,2.1273751
grid,-74,-25,198.66693,0.9763613,-2.5811121,8.32595,-0.36325955,8.154939,2.1273751
grid,-74,-24,197.96916,0.97243255,-2.5734687,8.369791,-0.36770844,8.154939,2.1273751
grid,-74,-23,197.26582,0.9686492,-2.566083,8.413642,-0.3721454,8.154939,2.1273751
grid,-74,0,180,0.925,-2.4764004,9.424147,-0.45761567,8.154939,2.1273751
grid,-74,23,162.73419,0.9686492,-2.5365732,10.604973,-0.51197684,8.154939,2.1273751
grid,-74,24,162.03085,0.97243255,-2.5422187,10.66134,-0.5142514,8.154939,2.1273751
grid,-74,25,161.33308,0.9763613,-2.5481067,10.717917,-0.51651686,8.154939,2.1273751
grid,-74,26,160.641,0.9804336,-2.5542347,10.774681,-0.51877266,8.154939,2.1273751
grid,-74,27,159.95476,0.9846478,-2.560602,10.831613,-0.52101874,8.154939,2.1273751
grid,-74,28,159.27444,0.98900205,-2.567203,10.888691,-0.52325517,8.154939,2.1273751
grid,-74,29,158.60019,0.99349445,-2.5740385,10.945895,-0.5254808,8.154939,2.1273751
grid,-74,30,157.9321,0.9981232,-2.581104,11.003204,-0.52769583,8.154939,2.1273751
grid,-73,-32,203.67055,0.9963214,-2.5933301,8.026935,-0.3258011,8.154939,2.1273751
grid,-73,-31,203.00888,0.991369,-2.5839221,8.070707,-0.33019635,8.154939,2.1273751
grid,-73,-30,202.34065,0.9865502,-2.5747392,8.114491,-0.3346127,8.154939,2.1273751
grid,-73,-29,201.66597,0.98186684,-2.5657861,8.158285,-0.33904552,8.154939,2.1273751
grid,-73,-28,200.98491,0.97732097,-2.5570683,8.202088,-0.34349102,8.154939,2.1273751
grid,-73,-27,200.29758,0.97291446,-2.5485904,8.245901,-0.347945,8.154939,2.1273751
grid,-73,-26,199.6041,0.9686492,-2.540357,8.289722,-0.35240313,8.154939,2.1273751
grid,-73,-25,198.90459,0.9645271,-2.5323734,8.333553,-0.3568604,8.154939,2.1273751
grid,-73,-24,198.19919,0.96055,-2.5246449,8.377392,-0.361312,8.154939,2.1273751
grid,-73,-23,197.488,0.9567197,-2.5171754,8.42124,-0.36575383,8.154939,2.1273751
grid,-73,0,180,0.9125,-2.4264271,9.431716,-0.45145148,8.154939,2.1273751
grid,-73,23,162.51201,0.9567197,-2.4874995,10.614082,-0.5057941,8.154939,2.1273751
grid,-73,24,161.80083,0.96055,-2.4932227,10.67052,-0.5080662,8.154939,2.1273751
grid,-73,25,161.09543,0.9645271,-2.4991899,10.727161,-0.510329,8.154939,2.1273751
grid,-73,26,160.39592,0.9686492,-2.5054016,10.783988,-0.51258194,8.154939,2.1273751
grid,-73,27,159.70244,0.97291446,-2.511853,10.840975,-0.5148249,8.154939,2.1273751
grid,-73,28,159.0151,0.97732097,-2.5185413,10.898103,-0.5170579,8.154939,2.1273751
grid,-73,29,158.33405,0.98186684,-2.5254657,10.955351,-0.51928,8.154939,2.1273751
grid,-73,30,157.65936,0.9865502,-2.5326228,11.012698,-0.52149177,8.154939,2.1273751
grid,-73,31,156.99113,0.991369,-2.5400085,11.0701275,-0.5236924,8.154939,2.1273751
grid,-73,32,156.32947,0.9963214,-2.547621,11.12762,-0.5258819,8.154939,2.1273751
grid,-72,-34,205.27773,0.9953014,-2.5649445,7.9470663,-0.31074482,8.154939,2.1273751
grid,-72,-33,204.62358,0.9900284,-2.5550032,7.990811,-0.3150734,8.154939,2.1273751
grid,-72,-32,203.9625,0.98488575,-2.5452774,8.034568,-0.31943244,8.154939,2.1273751
grid,-72,-31,203.29457,0.9798756,-2.5357723,8.078335,-0.3238173,8.154939,2.1273751
grid,-72,-30,202.61987,0.97499996,-2.526493,8.122113,-0.32822534,8.154939,2.1273751
grid,-72,-29,201.93849,0.97026086,-2.5174448,8.165902,-0.33265188,8.154939,2.1273751
grid,-72,-28,201.25052,0.9656604,-2.5086334,8.209702,-0.33709306,8.154939,2.1273754
grid,-72,-27,200.55606,0.9612004,-2.5000627,8.25351,-0.3415445,8.154939,2.1273751
grid,-72,-26,199.85522,0.9568829,-2.4917383,8.29733,-0.34600186,8.154939,2.1273751
grid,-72,-25,199.14816,0.9527099,-2.4836655,8.341156,-0.35045993,8.154939,2.1273751
grid,-72,-24,198.43497,0.94868326,-2.475849,8.384992,-0.35491455,8.154939,2.1273751
grid,-72,-23,197.7158,0.94480485,-2.4682944,8.428837,-0.35936028,8.154939,2.1273751
grid,-72,0,180,0.9,-2.3764546,9.439283,-0.44528654,8.154939,2.1273754
grid,-72,23,162.28421,0.94480485,-2.4384508,10.623214,-0.4996101,8.154939,2.1273751
grid,-72,24,161.56505,0.94868326,-2.4442523,10.679721,-0.5018798,8.154939,2.1273751
grid,-72,25,160.85185,0.9527099,-2.4503026,10.73643,-0.5041398,8.154939,2.1273751
grid,-72,26,160.14479,0.9568829,-2.4565985,10.793313,-0.5063893,8.154939,2.1273751
grid,-72,27,159.44395,0.9612004,-2.4631364,10.850356,-0.5086296,8.154939,2.1273751
grid,-72,28,158.7495,0.9656604,-2.469915,10.907532,-0.51085865,8.154939,2.1273754
grid,-72,29,158.06152,0.97026086,-2.47693,10.964822,-0.51307726,8.154939,2.1273751
grid,-72,30,157.38014,0.97499996,-2.4841797,11.022204,-0.5152854,8.154939,2.1273751
grid,-72,31,156.70544,0.9798756,-2.491661,11.079662,-0.5174819,8.154939,2.1273751
grid,-72,32,156.03752,0.98488575,-2.49937,11.1371765,-0.519667,8.154939,2.1273751
grid,-72,33,155.37643,0.9900284,-2.507305,11.194729,-0.5218403,8.154939,2.1273751
grid,-72,34,154.72229,0.9953014,-2.5154612,11.252298,-0.52400196,8.154939,2.1273751
grid,-71,-36,206.88695,0.9950659,-2.5378482,7.867273,-0.29589257,8.154939,2.1273751
grid,-71,-35,206.24136,0.98947585,-2.5273895,7.910986,-0.30013147,8.154939,2.1273751
grid,-71,-34,205.58852,0.98401284,-2.517137,7.954712,-0.30440924,8.154939,2.1273751
grid,-71,-33,204.9285,0.97867894,-2.5070944,7.99845,-0.3087224,8.154939,2.1273751
grid,-71,-32,204.2613,0.9734764,-2.4972692,8.0422,-0.3130681,8.154939,2.1273751
grid,-71,-31,203.58704,0.9684072,-2.4876654,8.085964,-0.31744224,8.154939,2.1273751
grid,-71,-30,202.90578,0.96347356,-2.478288,8.129737,-0.32184112,8.154939,2.1273751
grid,-71,-29,202.2176,0.9586775,-2.469143,8.173522,-0.32626048,8.154939,2.1273751
grid,-71,-28,201.52261,0.9540211,-2.460235,8.217317,-0.33069655,8.154939,2.1273751
grid,-71,-27,200.8209,0.94950646,-2.45157,8.261122,-0.33514497,8.154939,2.1273751
grid,-71,-26,200.11261,0.94513553,-2.443153,8.304936,-0.33960035,8.154939,2.1273751
grid,-71,-25,199.39783,0.94091046,-2.4349892,8.34876,-0.34405905,8.154939,2.1273751
grid,-71,-24,198.67671,0.9368331,-2.4270833,8.392592,-0.3485157,8.154939,2.1273751
grid,-71,-23,197.94942,0.93290544,-2.4194412,8.436435,-0.35296494,8.154939,2.1273751
grid,-71,0,180,0.8875,-2.3264828,9.44685,-0.4391215,8.154939,2.1273751
grid,-71,23,162.0506,0.93290544,-2.3894284,10.632367,-0.49342504,8.154939,2.1273751
grid,-71,24,161.3233,0.9368331,-2.395311,10.688942,-0.495692,8.154939,2.1273751
grid,-71,25,160.60219,0.94091046,-2.4014454,10.745714,-0.497949,8.154939,2.1273751
