sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.9250001,7.1689925,8.414442E-08,6.799376,1.7737501
grid,-79,0,180,0.9875,-1.8837501,7.168992,8.234133E-08,6.799376,1.7737501
grid,-78,0,180,0.975,-1.8425001,7.1689916,8.053823E-08,6.799376,1.7737501
grid,-77,0,180,0.9625,-1.8012501,7.168991,7.873513E-08,6.799376,1.7737501
grid,-76,-24,197.52557,0.99624294,-1.3790058,6.2300677,6.027825E-08,6.799376,1.7737501
grid,-76,-23,196.8375,0.9925504,-1.3896703,6.270274,6.074441E-08,6.799376,1.7737501
grid,-76,0,180,0.95,-1.7599999,7.1689906,7.693204E-08,6.799376,1.7737501
grid,-76,23,163.16252,0.9925504,-1.6348206,8.271967,7.146028E-08,6.799376,1.7737501
grid,-76,24,162.47444,0.99624294,-1.6351238,8.321313,7.1473536E-08,6.799376,1.7737501
grid,-75,-27,199.79889,0.99639976,-1.3102136,6.108109,5.7271254E-08,6.799376,1.7737501
grid,-75,-26,199.11974,0.9922355,-1.3195857,6.1487813,5.7680918E-08,6.799376,1.7737501
grid,-75,-25,198.43497,0.98821175,-1.3293396,6.189309,5.810728E-08,6.799376,1.7737501
grid,-75,-24,197.74469,0.98433036,-1.3394831,6.2296953,5.8550665E-08,6.799376,1.7737501
grid,-75,-23,197.04904,0.98059297,-1.3500241,6.269945,5.9011423E-08,6.799376,1.7737501
grid,-75,0,180,0.9375,-1.7187501,7.1689897,7.512895E-08,6.799376,1.7737501
grid,-75,23,162.95097,0.98059297,-1.595264,8.272369,6.97312E-08,6.799376,1.7737501
grid,-75,24,162.25533,0.98433036,-1.5957024,8.321768,6.975037E-08,6.799376,1.7737501
grid,-75,25,161.56505,0.98821175,-1.5965756,8.371334,6.978854E-08,6.799376,1.7737501
grid,-75,26,160.88028,0.9922355,-1.5978769,8.421073,6.984541E-08,6.799376,1.7737501
grid,-75,27,160.20113,0.99639976,-1.5995991,8.47099,6.992069E-08,6.799376,1.7737501
grid,-74,-30,202.06792,0.9981232,-1.2456433,5.9844823,5.4448794E-08,6.799376,1.7737501
grid,-74,-29,201.39983,0.99349445,-1.2537751,6.025669,5.480425E-08,6.799376,1.7737501
grid,-74,-28,200.72557,0.98900205,-1.262268,6.0666995,5.517548E-08,6.799376,1.7737501
grid,-74,-27,200.04526,0.9846478,-1.2711291,6.107575,5.556282E-08,6.799376,1.7737501
grid,-74,-26,199.35901,0.9804336,-1.2803664,6.1483,5.596659E-08,6.799376,1.7737501
grid,-74,-25,198.66693,0.9763613,-1.289988,6.188877,5.638717E-08,6.799376,1.7737501
grid,-74,-24,197.96916,0.97243255,-1.3000017,6.22931,5.6824877E-08,6.799376,1.7737501
grid,-74,-23,197.26582,0.9686492,-1.3104155,6.2696033,5.728008E-08,6.799376,1.7737501
grid,-74,0,180,0.925,-1.6775001,7.1689897,7.332585E-08,6.799376,1.7737501
