sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.8015777,8.343255,-0.41380757,7.7696877,2.026875
grid,-79,0,180,0.9875,-1.766214,8.343286,-0.41399908,7.7696877,2.026875
grid,-78,0,180,0.975,-1.7308505,8.343317,-0.41419056,7.7696877,2.026875
grid,-77,0,180,0.9625,-1.6954868,8.343348,-0.41438207,7.7696877,2.026875
grid,-76,-24,197.52557,0.99624294,-1.5000827,7.676729,-0.3995192,7.7696877,2.026875
grid,-76,-23,196.8375,0.9925504,-1.5101855,7.707252,-0.40026492,7.7696877,2.026875
grid,-76,0,180,0.95,-1.6601231,8.343378,-0.41457355,7.7696877,2.026875
grid,-76,23,163.16252,0.9925504,-1.6498518,9.021067,-0.42625737,7.7696877,2.026875
grid,-76,24,162.47444,0.99624294,-1.6476413,9.054959,-0.4267856,7.7696877,2.026875
grid,-75,-27,199.79889,0.99639976,-1.4319255,7.5829387,-0.39737624,7.7696877,2.026875
grid,-75,-26,199.11974,0.9922355,-1.4426649,7.6140966,-0.39814952,7.7696877,2.026875
grid,-75,-25,198.43497,0.98821175,-1.4532235,7.645069,-0.39891464,7.7696877,2.026875
grid,-75,-24,197.74469,0.98433036,-1.4635916,7.67585,-0.39967152,7.7696877,2.026875
grid,-75,-23,197.04904,0.98059297,-1.4737592,7.7064366,-0.4004199,7.7696877,2.026875
grid,-75,0,180,0.9375,-1.6247596,8.343409,-0.41476506,7.7696877,2.026875
grid,-75,23,162.95097,0.98059297,-1.6139648,9.022406,-0.4264548,7.7696877,2.026875
grid,-75,24,162.25533,0.98433036,-1.6117237,9.056393,-0.42698348,7.7696877,2.026875
grid,-75,25,161.56505,0.98821175,-1.6093895,9.09068,-0.42751336,7.7696877,2.026875
grid,-75,26,160.88028,0.9922355,-1.6069682,9.125257,-0.42804447,7.7696877,2.026875
grid,-75,27,160.20113,0.99639976,-1.6044632,9.160118,-0.4285767,7.7696877,2.026875
grid,-74,-30,202.06792,0.9981232,-1.3618404,7.487108,-0.39514476,7.7696877,2.026875
grid,-74,-29,201.39983,0.99349445,-1.3731222,7.518861,-0.39594382,7.7696877,2.026875
grid,-74,-28,200.72557,0.98900205,-1.3842535,7.5504417,-0.3967354,7.7696877,2.026875
grid,-74,-27,200.04526,0.9846478,-1.3952246,7.5818477,-0.39751932,7.7696877,2.026875
grid,-74,-26,199.35901,0.9804336,-1.4060259,7.6130705,-0.3982954,7.7696877,2.026875
grid,-74,-25,198.66693,0.9763613,-1.4166479,7.6441073,-0.39906335,7.7696877,2.026875
grid,-74,-24,197.96916,0.97243255,-1.4270802,7.6749525,-0.39982295,7.7696877,2.026875
grid,-74,-23,197.26582,0.9686492,-1.4373126,7.705601,-0.40057406,7.7696877,2.026875
grid,-74,0,180,0.925,-1.5893959,8.343439,-0.41495657,7.7696877,2.026875
grid,-74,23,162.73419,0.9686492,-1.578068,9.023773,-0.42665243,7.7696877,2.026875
grid,-74,24,162.03085,0.97243255,-1.5757973,9.057857,-0.42718145,7.7696877,2.026875
grid,-74,25,161.33308,0.9763613,-1.5734336,9.092241,-0.42771178,7.7696877,2.026875
grid,-74,26,160.641,0.9804336,-1.5709825,9.126917,-0.4282433,7.7696877,2.026875
grid,-74,27,159.95476,0.9846478,-1.5684495,9.161877,-0.42877597,7.7696877,2.026875
grid,-74,28,159.27444,0.98900205,-1.5658392,9.197111,-0.4293098,7.7696877,2.026875
grid,-74,29,158.60019,0.99349445,-1.5631578,9.232614,-0.4298447,7.7696877,2.026875
grid,-74,30,157.9321,0.9981232,-1.560409,9.2683735,-0.43038058,7.7696877,2.026875
grid,-73,-32,203.67055,0.9963214,-1.3018463,7.4216566,-0.39365247,7.7696877,2.026875
grid,-73,-31,203.00888,0.991369,-1.3134575,7.4538045,-0.39446872,7.7696877,2.026875
grid,-73,-30,202.34065,0.9865502,-1.3249376,7.485791,-0.39527798,7.7696877,2.026875
grid,-73,-29,201.66597,0.98186684,-1.3362775,7.5176115,-0.39607996,7.7696877,2.026875
grid,-73,-28,200.98491,0.97732097,-1.3474684,7.54926,-0.3968745,7.7696877,2.026875
