sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-0.1672363,9.841553,0.49637607,9.343751,2.4375
grid,-79,0,180,0.9875,-0.14943197,9.841554,0.49662793,9.343751,2.4375
grid,-78,0,180,0.975,-0.13162768,9.841555,0.49687976,9.343751,2.4375
grid,-77,0,180,0.9625,-0.113823295,9.841557,0.49713162,9.343751,2.4375
grid,-76,-24,197.52557,0.99624294,-0.11784154,8.834401,0.49835005,9.343751,2.4375
grid,-76,-23,196.8375,0.9925504,-0.11620849,8.875261,0.49828202,9.343751,2.4375
grid,-76,0,180,0.95,-0.09601897,9.841557,0.49738345,9.343751,2.4375
grid,-76,23,163.16252,0.9925504,-0.088130146,10.764551,0.49828202,9.343751,2.4375
grid,-76,24,162.47444,0.99624294,-0.08759543,10.801901,0.49835005,9.343751,2.4375
grid,-75,-27,199.79889,0.99639976,-0.10549796,8.71261,0.49882478,9.343751,2.4375
grid,-75,-26,199.11974,0.9922355,-0.10371286,8.753269,0.4987522,9.343751,2.4375
grid,-75,-25,198.43497,0.98821175,-0.10197142,8.793986,0.49868092,9.343751,2.4375
grid,-75,-24,197.74469,0.98433036,-0.100275666,8.834763,0.498611,9.343751,2.4375
grid,-75,-23,197.04904,0.98059297,-0.09862769,8.875605,0.4985425,9.343751,2.4375
grid,-75,0,180,0.9375,-0.078214645,9.841558,0.4976353,9.343751,2.4375
grid,-75,23,162.95097,0.98059297,-0.07026842,10.763727,0.4985425,9.343751,2.4375
grid,-75,24,162.25533,0.98433036,-0.06973177,10.8010235,0.498611,9.343751,2.4375
grid,-75,25,161.56505,0.98821175,-0.06919128,10.838148,0.49868092,9.343751,2.4375
grid,-75,26,160.88028,0.9922355,-0.06864759,10.875105,0.4987522,9.343751,2.4375
grid,-75,27,160.20113,0.99639976,-0.06810132,10.911907,0.49882478,9.343751,2.4375
grid,-74,-30,202.06792,0.9981232,-0.09362656,8.591433,0.49931282,9.343751,2.4375
grid,-74,-29,201.39983,0.99349445,-0.09170684,8.63192,0.49923655,9.343751,2.4375
grid,-74,-28,200.72557,0.98900205,-0.089825094,8.672455,0.4991613,9.343751,2.4375
grid,-74,-27,200.04526,0.9846478,-0.08798304,8.71304,0.4990872,9.343751,2.4375
grid,-74,-26,199.35901,0.9804336,-0.086182564,8.753679,0.49901417,9.343751,2.4375
grid,-74,-25,198.66693,0.9763613,-0.0844259,8.794375,0.4989424,9.343751,2.4375
grid,-74,-24,197.96916,0.97243255,-0.082714796,8.835133,0.49887204,9.343751,2.4375
grid,-74,-23,197.26582,0.9686492,-0.08105141,8.875954,0.49880308,9.343751,2.4375
grid,-74,0,180,0.925,-0.06041035,9.841559,0.49788713,9.343751,2.4375
grid,-74,23,162.73419,0.9686492,-0.052406073,10.76289,0.49880308,9.343751,2.4375
grid,-74,24,162.03085,0.97243255,-0.05186847,10.80013,0.49887204,9.343751,2.4375
grid,-74,25,161.33308,0.9763613,-0.051326692,10.837198,0.4989424,9.343751,2.4375
grid,-74,26,160.641,0.9804336,-0.050781757,10.874102,0.49901417,9.343751,2.4375
grid,-74,27,159.95476,0.9846478,-0.050234944,10.910848,0.4990872,9.343751,2.4375
grid,-74,28,159.27444,0.98900205,-0.04968673,10.947441,0.4991613,9.343751,2.4375
grid,-74,29,158.60019,0.99349445,-0.049138695,10.983889,0.49923655,9.343751,2.4375
grid,-74,30,157.9321,0.9981232,-0.048591286,11.020197,0.49931282,9.343751,2.4375
grid,-73,-32,203.67055,0.9963214,-0.0801363,8.51112,0.4997321,9.343751,2.4375
grid,-73,-31,203.00888,0.991369,-0.0781323,8.551502,0.49965394,9.343751,2.4375
grid,-73,-30,202.34065,0.9865502,-0.07616219,8.591927,0.4995765,9.343751,2.4375
grid,-73,-29,201.66597,0.98186684,-0.0742276,8.632395,0.49949992,9.343751,2.4375
grid,-73,-28,200.98491,0.97732097,-0.07233077,8.672911,0.4994243,9.343751,2.4375
grid,-73,-27,200.29758,0.97291446,-0.07047352,8.713478,0.49934977,9.343751,2.4375
grid,-73,-26,199.6041,0.9686492,-0.068657756,8.754097,0.49927634,9.343751,2.4375
grid,-73,-25,198.90459,0.9645271,-0.0668855,8.794773,0.49920413,9.343751,2.4375
grid,-73,-24,198.19919,0.96055,-0.0651589,8.835508,0.49913326,9.343751,2.4375
grid,-73,-23,197.488,0.9567197,-0.06348002,8.876309,0.49906382,9.343751,2.4375
grid,-73,0,180,0.9125,-0.042606026,9.84156,0.49813902,9.343751,2.4375
grid,-73,23,162.51201,0.9567197,-0.034543246,10.762033,0.49906382,9.343751,2.4375
grid,-73,24,161.80083,0.96055,-0.034004033,10.799218,0.49913326,9.343751,2.4375
grid,-73,25,161.09543,0.9645271,-0.033460975,10.83623,0.4992041,9.343751,2.4375
grid,-73,26,160.39592,0.9686492,-0.03291568,10.873077,0.49927634,9.343751,2.4375
grid,-73,27,159.70244,0.97291446,-0.03236848,10.909767,0.49934977,9.343751,2.4375
grid,-73,28,159.0151,0.97732097,-0.03182003,10.946304,0.4994243,9.343751,2.4375
grid,-73,29,158.33405,0.98186684,-0.031272233,10.982697,0.4994999,9.343751,2.4375
grid,-73,30,157.65936,0.9865502,-0.030725121,11.01895,0.4995765,9.343751,2.4375
grid,-73,31,156.99113,0.991369,-0.030179203,11.055071,0.49965394,9.343751,2.4375
grid,-73,32,156.32947,0.9963214,-0.029635847,11.091064,0.4997321,9.343751,2.4375
