sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.25,6.1829834,5.463923E-08,7.9062505,2.0625
grid,-79,0,180,0.9875,-1.21875,6.1828914,-9.967257E-07,7.9062505,2.0625
grid,-78,0,180,0.975,-1.1875001,6.182799,-2.0480907E-06,7.9062505,2.0625
grid,-77,0,180,0.9625,-1.1562499,6.182707,-3.0994606E-06,7.9062505,2.0625
grid,-76,-24,197.52557,0.99624294,-1.1117043,5.32411,-2.6699885E-07,7.9062505,2.0625
grid,-76,-23,196.8375,0.9925504,-1.1124793,5.358887,-5.7714067E-07,7.9062505,2.0625
grid,-76,0,180,0.95,-1.125,6.1826143,-4.150826E-06,7.9062505,2.0625
grid,-76,23,163.16252,0.9925504,-1.1836118,7.1954,-5.740314E-07,7.9062505,2.0625
grid,-76,24,162.47444,0.99624294,-1.1880901,7.244285,-2.6365993E-07,7.9062505,2.0625
grid,-75,-27,199.79889,0.99639976,-1.0781014,5.220254,-2.5529482E-07,7.9062505,2.0625
grid,-75,-26,199.11974,0.9922355,-1.0788543,5.2549186,-6.050613E-07,7.9062505,2.0625
grid,-75,-25,198.43497,0.98821175,-1.0796161,5.2896123,-9.430214E-07,7.9062505,2.0625
grid,-75,-24,197.74469,0.98433036,-1.0803852,5.324339,-1.2690249E-06,7.9062505,2.0625
grid,-75,-23,197.04904,0.98059297,-1.0811595,5.3591046,-1.5829318E-06,7.9062505,2.0625
grid,-75,0,180,0.9375,-1.09375,6.182522,-5.202191E-06,7.9062505,2.0625
grid,-75,23,162.95097,0.98059297,-1.1529351,7.1967497,-1.5797943E-06,7.9062505,2.0625
grid,-75,24,162.25533,0.98433036,-1.157445,7.2457113,-1.2656565E-06,7.9062505,2.0625
grid,-75,25,161.56505,0.98821175,-1.1620522,7.2949033,-9.3941804E-07,7.9062505,2.0625
grid,-75,26,160.88028,0.9922355,-1.1667497,7.344307,-6.0121926E-07,7.9062505,2.0625
grid,-75,27,160.20113,0.99639976,-1.1715304,7.3939056,-2.512109E-07,7.9062505,2.0625
grid,-74,-30,202.06792,0.9981232,-1.0446212,5.1166716,-1.1198696E-07,7.9062505,2.0625
grid,-74,-29,201.39983,0.99349445,-1.04533,5.151273,-5.007733E-07,7.9062505,2.0625
grid,-74,-28,200.72557,0.98900205,-1.0460544,5.1858864,-8.7810344E-07,7.9062505,2.0625
grid,-74,-27,200.04526,0.9846478,-1.046792,5.220519,-1.2438271E-06,7.9062505,2.0625
grid,-74,-26,199.35901,0.9804336,-1.0475408,5.255174,-1.5977895E-06,7.9062505,2.0625
grid,-74,-25,198.66693,0.9763613,-1.0482999,5.2898574,-1.9398303E-06,7.9062505,2.0625
grid,-74,-24,197.96916,0.97243255,-1.0490665,5.3245726,-2.269809E-06,7.9062505,2.0625
grid,-74,-23,197.26582,0.9686492,-1.0498393,5.3593254,-2.5875765E-06,7.9062505,2.0625
grid,-74,0,180,0.925,-1.0625,6.18243,-6.2535555E-06,7.9062505,2.0625
grid,-74,23,162.73419,0.9686492,-1.1222682,7.198124,-2.5844106E-06,7.9062505,2.0625
grid,-74,24,162.03085,0.97243255,-1.1268098,7.247161,-2.266411E-06,7.9062505,2.0625
grid,-74,25,161.33308,0.9763613,-1.1314478,7.2964253,-1.9361958E-06,7.9062505,2.0625
grid,-74,26,160.641,0.9804336,-1.1361747,7.345898,-1.5939152E-06,7.9062505,2.0625
grid,-74,27,159.95476,0.9846478,-1.1409836,7.3955617,-1.23971E-06,7.9062505,2.0625
grid,-74,28,159.27444,0.98900205,-1.1458676,7.4453974,-8.737404E-07,7.9062505,2.0625
grid,-74,29,158.60019,0.99349445,-1.1508191,7.49539,-4.961622E-07,7.9062505,2.0625
grid,-74,30,157.9321,0.9981232,-1.1558323,7.545519,-1.07125764E-07,7.9062505,2.0625
grid,-73,-32,203.67055,0.9963214,-1.0119793,5.0477886,-2.6476903E-07,7.9062505,2.0625
grid,-73,-31,203.00888,0.991369,-1.0126456,5.082371,-6.807391E-07,7.9062505,2.0625
