sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.6627028,4.9315767,-0.0062434077,6.9862504,1.8225
grid,-79,0,180,0.9875,-1.631499,4.933404,-0.008137253,6.986251,1.8225001
grid,-78,0,180,0.975,-1.6001832,4.9353237,-0.010041113,6.986251,1.8225001
grid,-77,0,180,0.9625,-1.5688676,4.937244,-0.0119449645,6.986251,1.8225001
grid,-76,-24,197.52557,0.99624294,-1.5533748,4.309414,0.021287387,6.986251,1.8225001
grid,-76,-23,196.8375,0.9925504,-1.550749,4.3371773,0.019677963,6.986251,1.8225001
grid,-76,0,180,0.95,-1.5375519,4.939164,-0.013848823,6.986251,1.8225001
grid,-76,23,163.16252,0.9925504,-1.6311567,5.5348763,-0.043793324,6.986251,1.8225001
grid,-76,24,162.47444,0.99624294,-1.6374435,5.5621,-0.045097906,6.986251,1.8225001
grid,-75,-27,199.79889,0.99639976,-1.5315845,4.2271605,0.024313433,6.986251,1.8225001
grid,-75,-26,199.11974,0.9922355,-1.5284865,4.2551003,0.022678854,6.986251,1.8225001
grid,-75,-25,198.43497,0.98821175,-1.5255271,4.282995,0.021051258,6.986251,1.8225001
grid,-75,-24,197.74469,0.98433036,-1.5227101,4.3108387,0.01943119,6.986251,1.8225001
grid,-75,-23,197.04904,0.98059297,-1.5200388,4.338623,0.017819151,6.986251,1.8225001
grid,-75,0,180,0.9375,-1.5062366,4.941084,-0.015752658,6.986251,1.8225001
grid,-75,23,162.95097,0.98059297,-1.6004958,5.537192,-0.045698237,6.986251,1.8225001
grid,-75,24,162.25533,0.98433036,-1.6068313,5.56443,-0.047002055,6.986251,1.8225001
grid,-75,25,161.56505,0.98821175,-1.6133208,5.591707,-0.048303083,6.986251,1.8225001
grid,-75,26,160.88028,0.9922355,-1.6199613,5.6190157,-0.049600955,6.986251,1.8225001
grid,-75,27,160.20113,0.99639976,-1.6267469,5.646349,-0.050895523,6.986251,1.8225001
grid,-74,-30,202.06792,0.9981232,-1.5113215,4.1444917,0.027412735,6.986251,1.8225001
grid,-74,-29,201.39983,0.99349445,-1.5077778,4.1725283,0.02575806,6.986251,1.8225001
grid,-74,-28,200.72557,0.98900205,-1.5043626,4.200544,0.024108812,6.986251,1.8225001
grid,-74,-27,200.04526,0.9846478,-1.5010796,4.228532,0.022465447,6.986251,1.8225001
grid,-74,-26,199.35901,0.9804336,-1.4979329,4.256485,0.02082848,6.986251,1.8225001
grid,-74,-25,198.66693,0.9763613,-1.4949253,4.284396,0.019198436,6.986251,1.8225001
grid,-74,-24,197.96916,0.97243255,-1.4920604,4.312258,0.0175758,6.986251,1.8225001
