sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.7558838,9.700317,-0.1078124,7.852344,2.0484376
grid,-79,0,180,0.9875,-1.7306409,9.709445,-0.1078326,7.852344,2.0484376
grid,-78,0,180,0.975,-1.7053981,9.718573,-0.107852876,7.852344,2.0484376
grid,-77,0,180,0.9625,-1.680155,9.7277,-0.10787308,7.852344,2.0484376
grid,-76,-24,197.52557,0.99624294,-1.382511,8.512976,-0.10781849,7.852344,2.0484376
grid,-76,-23,196.8375,0.9925504,-1.398198,8.572305,-0.10782451,7.852344,2.0484376
grid,-76,0,180,0.95,-1.6549121,9.736828,-0.10789329,7.852344,2.0484376
grid,-76,23,163.16252,0.9925504,-1.6682646,10.641422,-0.1078245,7.852344,2.0484376
grid,-76,24,162.47444,0.99624294,-1.6645966,10.679327,-0.10781848,7.852344,2.0484376
grid,-75,-27,199.79889,0.99639976,-1.3068392,8.33723,-0.10781829,7.852344,2.0484376
grid,-75,-26,199.11974,0.9922355,-1.32344,8.398512,-0.107824996,7.852344,2.0484376
grid,-75,-25,198.43497,0.98821175,-1.339776,8.459221,-0.10783146,7.852344,2.0484376
grid,-75,-24,197.74469,0.98433036,-1.3558382,8.519343,-0.107837744,7.852344,2.0484376
grid,-75,-23,197.04904,0.98059297,-1.3716161,8.578864,-0.107843824,7.852344,2.0484376
grid,-75,0,180,0.9375,-1.6296692,9.7459545,-0.107913494,7.852344,2.0484376
grid,-75,23,162.95097,0.98059297,-1.6417644,10.650128,-0.10784382,7.852344,2.0484376
grid,-75,24,162.25533,0.98433036,-1.6380122,10.688004,-0.10783774,7.852344,2.0484376
grid,-75,25,161.56505,0.98821175,-1.6339977,10.72578,-0.10783145,7.852344,2.0484376
grid,-75,26,160.88028,0.9922355,-1.6297305,10.763457,-0.10782498,7.852344,2.0484376
grid,-75,27,160.20113,0.99639976,-1.6252193,10.801043,-0.107818276,7.852344,2.0484376
grid,-74,-30,202.06792,0.9981232,-1.228296,8.1552,-0.10781546,7.852344,2.0484376
grid,-74,-29,201.39983,0.99349445,-1.2457228,8.218315,-0.107823,7.852344,2.0484376
grid,-74,-28,200.72557,0.98900205,-1.2629147,8.280901,-0.10783021,7.852344,2.0484376
grid,-74,-27,200.04526,0.9846478,-1.2798617,8.342942,-0.107837245,7.852344,2.0484376
grid,-74,-26,199.35901,0.9804336,-1.2965542,8.404423,-0.10784404,7.852344,2.0484376
grid,-74,-25,198.66693,0.9763613,-1.3129828,8.465332,-0.107850686,7.852344,2.0484376
grid,-74,-24,197.96916,0.97243255,-1.3291366,8.52565,-0.107857004,7.852344,2.0484376
grid,-74,-23,197.26582,0.9686492,-1.345006,8.585364,-0.10786317,7.852344,2.0484376
grid,-74,0,180,0.925,-1.6044264,9.755083,-0.10793376,7.852344,2.0484376
grid,-74,23,162.73419,0.9686492,-1.615238,10.658826,-0.10786316,7.852344,2.0484376
grid,-74,24,162.03085,0.97243255,-1.611402,10.696669,-0.10785699,7.852344,2.0484376
grid,-74,25,161.33308,0.9763613,-1.6073024,10.734411,-0.10785067,7.852344,2.0484376
grid,-74,26,160.641,0.9804336,-1.6029496,10.772059,-0.107844025,7.852344,2.0484376
grid,-74,27,159.95476,0.9846478,-1.5983537,10.809609,-0.10783723,7.852344,2.0484376
grid,-74,28,159.27444,0.98900205,-1.593524,10.84707,-0.1078302,7.852344,2.0484376
grid,-74,29,158.60019,0.99349445,-1.5884709,10.88444,-0.107822984,7.852344,2.0484376
grid,-74,30,157.9321,0.9981232,-1.5832028,10.921722,-0.107815444,7.852344,2.0484376
grid,-73,-32,203.67055,0.9963214,-1.1653023,8.03203,-0.10781838,7.852344,2.0484376
grid,-73,-31,203.00888,0.991369,-1.1832623,8.096372,-0.1078264,7.852344,2.0484376
grid,-73,-30,202.34065,0.9865502,-1.2010064,8.1602125,-0.107834205,7.852344,2.0484376
grid,-73,-29,201.66597,0.98186684,-1.2185253,8.223537,-0.107841715,7.852344,2.0484376
grid,-73,-28,200.98491,0.97732097,-1.2358098,8.286331,-0.10784908,7.852344,2.0484376
grid,-73,-27,200.29758,0.97291446,-1.2528503,8.348579,-0.10785623,7.852344,2.0484376
grid,-73,-26,199.6041,0.9686492,-1.2696364,8.410267,-0.10786317,7.852344,2.0484376
grid,-73,-25,198.90459,0.9645271,-1.2861582,8.471377,-0.10786985,7.852344,2.0484376
grid,-73,-24,198.19919,0.96055,-1.3024051,8.531894,-0.107876256,7.852344,2.0484376
grid,-73,-23,197.488,0.9567197,-1.3183676,8.5918045,-0.107882455,7.852344,2.0484376
grid,-73,0,180,0.9125,-1.5791833,9.76421,-0.107953936,7.852344,2.0484376
grid,-73,23,162.51201,0.9567197,-1.5886853,10.667513,-0.10788244,7.852344,2.0484376
grid,-73,24,161.80083,0.96055,-1.584763,10.705324,-0.10787624,7.852344,2.0484376
grid,-73,25,161.09543,0.9645271,-1.5805774,10.743034,-0.10786983,7.852344,2.0484376
grid,-73,26,160.39592,0.9686492,-1.5761391,10.780646,-0.10786316,7.852344,2.0484376
grid,-73,27,159.70244,0.97291446,-1.5714574,10.818166,-0.107856214,7.852344,2.0484376
grid,-73,28,159.0151,0.97732097,-1.5665423,10.855591,-0.10784906,7.852344,2.0484376
grid,-73,29,158.33405,0.98186684,-1.5614042,10.892926,-0.1078417,7.852344,2.0484376
grid,-73,30,157.65936,0.9865502,-1.5560517,10.930174,-0.10783419,7.852344,2.0484376
grid,-73,31,156.99113,0.991369,-1.5504934,10.967338,-0.10782638,7.852344,2.0484376
grid,-73,32,156.32947,0.9963214,-1.5447395,11.0044155,-0.107818365,7.852344,2.0484376
grid,-72,-34,205.27773,0.9953014,-1.1010772,7.905964,-0.10782006,7.852344,2.0484376
grid,-72,-33,204.62358,0.9900284,-1.1195319,7.9714813,-0.10782852,7.852344,2.0484376
grid,-72,-32,203.9625,0.98488575,-1.1377902,8.036527,-0.107836924,7.852344,2.0484376
grid,-72,-31,203.29457,0.9798756,-1.1558417,8.101083,-0.107845,7.852344,2.0484376
