sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.7094955,4.2253036,0.2740409,6.2100005,1.62
grid,-79,0,180,0.9875,-2.6530995,4.228588,0.27071556,6.210001,1.6200001
grid,-78,0,180,0.975,-2.596731,4.2320237,0.26728877,6.210001,1.6200001
grid,-77,0,180,0.9625,-2.5403626,4.2354593,0.26386198,6.210001,1.6200001
grid,-76,-24,197.52557,0.99624294,-2.5127268,3.1054204,0.32367983,6.210001,1.6200001
grid,-76,-23,196.8375,0.9925504,-2.5079994,3.155389,0.3207829,6.210001,1.6200001
grid,-76,0,180,0.95,-2.4839945,4.2388954,0.26043522,6.210001,1.6200001
grid,-76,23,163.16252,0.9925504,-2.6523716,5.3111787,0.20653825,6.210001,1.6200001
grid,-76,24,162.47444,0.99624294,-2.6636958,5.3601823,0.2041902,6.210001,1.6200001
grid,-75,-27,199.79889,0.99639976,-2.4735017,2.957365,0.3291267,6.210001,1.6200001
grid,-75,-26,199.11974,0.9922355,-2.4679255,3.0076494,0.32618448,6.210001,1.6200001
grid,-75,-25,198.43497,0.98821175,-2.4625983,3.0578537,0.32325488,6.210001,1.6200001
grid,-75,-24,197.74469,0.98433036,-2.4575272,3.1079655,0.32033882,6.210001,1.6200001
grid,-75,-23,197.04904,0.98059297,-2.452718,3.1579719,0.31743717,6.210001,1.6200001
grid,-75,0,180,0.9375,-2.4276264,4.2423306,0.25700846,6.210001,1.6200001
grid,-75,23,162.95097,0.98059297,-2.5971856,5.315326,0.20310958,6.210001,1.6200001
grid,-75,24,162.25533,0.98433036,-2.6085968,5.364356,0.20076291,6.210001,1.6200001
grid,-75,25,161.56505,0.98821175,-2.6202857,5.413456,0.1984213,6.210001,1.6200001
grid,-75,26,160.88028,0.9922355,-2.6322465,5.462612,0.19608536,6.210001,1.6200001
grid,-75,27,160.20113,0.99639976,-2.6444693,5.511814,0.19375536,6.210001,1.6200001
grid,-74,-30,202.06792,0.9981232,-2.4370198,2.8085642,0.3347054,6.210001,1.6200001
grid,-74,-29,201.39983,0.99349445,-2.430643,2.859022,0.33172706,6.210001,1.6200001
grid,-74,-28,200.72557,0.98900205,-2.4244976,2.9094424,0.32875848,6.210001,1.6200001
grid,-74,-27,200.04526,0.9846478,-2.418589,2.959814,0.32580045,6.210001,1.6200001
grid,-74,-26,199.35901,0.9804336,-2.4129255,3.0101233,0.32285398,6.210001,1.6200001
grid,-74,-25,198.66693,0.9763613,-2.4075117,3.0603566,0.31991994,6.210001,1.6200001
grid,-74,-24,197.96916,0.97243255,-2.4023547,3.1105008,0.3169993,6.210001,1.6200001
grid,-74,-23,197.26582,0.9686492,-2.3974617,3.1605422,0.31409293,6.210001,1.6200001
grid,-74,0,180,0.925,-2.3712578,4.2457666,0.25358167,6.210001,1.6200001
grid,-74,23,162.73419,0.9686492,-2.5420258,5.319483,0.19968127,6.210001,1.6200001
grid,-74,24,162.03085,0.97243255,-2.5535264,5.368537,0.19733615,6.210001,1.6200001
grid,-74,25,161.33308,0.9763613,-2.565306,5.4176564,0.19499636,6.210001,1.6200001
grid,-74,26,160.641,0.9804336,-2.5773578,5.4668303,0.19266242,6.210001,1.6200001
grid,-74,27,159.95476,0.9846478,-2.589674,5.5160437,0.19033477,6.210001,1.6200001
grid,-74,28,159.27444,0.98900205,-2.6022463,5.565285,0.18801382,6.210001,1.6200001
grid,-74,29,158.60019,0.99349445,-2.6150677,5.6145425,0.18570006,6.210001,1.6200001
grid,-74,30,157.9321,0.9981232,-2.6281314,5.6638026,0.18339393,6.210001,1.6200001
grid,-73,-32,203.67055,0.9963214,-2.396021,2.709974,0.33738136,6.210001,1.6200001
