sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-2.3334925,6.9718747,-0.03349243,7.108438,1.854375
grid,-79,0,180,0.9875,-2.289949,6.971943,-0.033073775,7.108438,1.854375
grid,-78,0,180,0.975,-2.2464054,6.9720106,-0.03265512,7.108438,1.854375
grid,-77,0,180,0.9625,-2.2028615,6.972079,-0.032236464,7.108438,1.854375
grid,-76,-24,197.52557,0.99624294,-1.7575632,5.9902925,-0.028375275,7.108438,1.854375
grid,-76,-23,196.8375,0.9925504,-1.7688092,6.0323467,-0.028472062,7.108438,1.854375
grid,-76,0,180,0.95,-2.1593177,6.972147,-0.03181781,7.108438,1.854375
grid,-76,23,163.16252,0.9925504,-2.0341618,8.125026,-0.037531212,7.108438,1.854375
grid,-76,24,162.47444,0.99624294,-2.0347807,8.176594,-0.037833154,7.108438,1.854375
grid,-75,-27,199.79889,0.99639976,-1.6849757,5.8627896,-0.027707038,7.108438,1.854375
grid,-75,-26,199.11974,0.9922355,-1.6948587,5.9053335,-0.02779181,7.108438,1.854375
grid,-75,-25,198.43497,0.98821175,-1.7051442,5.9477253,-0.027880156,7.108438,1.854375
grid,-75,-24,197.74469,0.98433036,-1.7158409,5.9899693,-0.027972113,7.108438,1.854375
grid,-75,-23,197.04904,0.98059297,-1.7269565,6.0320687,-0.02806777,7.108438,1.854375
grid,-75,0,180,0.9375,-2.1157742,6.9722147,-0.031399157,7.108438,1.854375
grid,-75,23,162.95097,0.98059297,-1.9924043,8.125513,-0.03712831,7.108438,1.854375
grid,-75,24,162.25533,0.98433036,-1.993166,8.177135,-0.037431598,7.108438,1.854375
grid,-75,25,161.56505,0.98821175,-1.9943864,8.228933,-0.037739135,7.108438,1.854375
grid,-75,26,160.88028,0.9922355,-1.9960585,8.2809105,-0.03805088,7.108438,1.854375
grid,-75,27,160.20113,0.99639976,-1.998175,8.333075,-0.03836683,7.108438,1.854375
grid,-74,-30,202.06792,0.9981232,-1.6168417,5.733534,-0.02707837,7.108438,1.854375
grid,-74,-29,201.39983,0.99349445,-1.6254164,5.776618,-0.027151471,7.108438,1.854375
grid,-74,-28,200.72557,0.98900205,-1.6343716,5.819538,-0.02722798,7.108438,1.854375
grid,-74,-27,200.04526,0.9846478,-1.6437157,5.8622956,-0.027307948,7.108438,1.854375
grid,-74,-26,199.35901,0.9804336,-1.6534563,5.904895,-0.027391464,7.108438,1.854375
grid,-74,-25,198.66693,0.9763613,-1.6636025,5.9473386,-0.027478587,7.108438,1.854375
grid,-74,-24,197.96916,0.97243255,-1.674162,5.989631,-0.027569331,7.108438,1.854375
grid,-74,-23,197.26582,0.9686492,-1.6851436,6.0317764,-0.027663806,7.108438,1.854375
grid,-74,0,180,0.925,-2.0722306,6.972283,-0.030980498,7.108438,1.854375
grid,-74,23,162.73419,0.9686492,-1.9506903,8.126016,-0.036725838,7.108438,1.854375
grid,-74,24,162.03085,0.97243255,-1.9515984,8.177694,-0.03703046,7.108438,1.854375
grid,-74,25,161.33308,0.9763613,-1.9529692,8.229551,-0.0373394,7.108438,1.854375
grid,-74,26,160.641,0.9804336,-1.9547951,8.281592,-0.037652615,7.108438,1.854375
grid,-74,27,159.95476,0.9846478,-1.9570693,8.333821,-0.037970033,7.108438,1.854375
grid,-74,28,159.27444,0.98900205,-1.9597837,8.386245,-0.03829163,7.108438,1.854375
grid,-74,29,158.60019,0.99349445,-1.9629316,8.438865,-0.038617365,7.108438,1.854375
grid,-74,30,157.9321,0.9981232,-1.9665055,8.491686,-0.038947165,7.108438,1.854375
grid,-73,-32,203.67055,0.9963214,-1.5603513,5.646009,-0.026550418,7.108438,1.854375
grid,-73,-31,203.00888,0.991369,-1.5680342,5.6895046,-0.026615445,7.108438,1.854375
grid,-73,-30,202.34065,0.9865502,-1.5760833,5.7328277,-0.026683785,7.108438,1.854375
grid,-73,-29,201.66597,0.98186684,-1.5845062,5.775979,-0.026755499,7.108438,1.854375
grid,-73,-28,200.98491,0.97732097,-1.5933117,5.818963,-0.026830677,7.108438,1.854375
grid,-73,-27,200.29758,0.97291446,-1.6025084,5.8617816,-0.026909363,7.108438,1.854375
grid,-73,-26,199.6041,0.9686492,-1.6121039,5.9044375,-0.026991576,7.108438,1.854375
grid,-73,-25,198.90459,0.9645271,-1.6221075,5.9469357,-0.027077412,7.108438,1.854375
grid,-73,-24,198.19919,0.96055,-1.6325274,5.9892774,-0.027166933,7.108438,1.854375
grid,-73,-23,197.488,0.9567197,-1.6433724,6.0314703,-0.027260209,7.108438,1.854375
