sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-3.4981494,4.539011,1.5290897E-07,7.094063,1.8506252
grid,-79,0,180,0.9875,-3.4544227,4.5390105,1.5099761E-07,7.094063,1.8506252
grid,-78,0,180,0.975,-3.4106958,4.5390096,1.4908625E-07,7.094063,1.8506252
grid,-77,0,180,0.9625,-3.3669686,4.539009,1.4717487E-07,7.094063,1.8506252
grid,-76,-24,197.52557,0.99624294,-3.2775505,3.6048687,1.4326628E-07,7.095439,1.8509841
grid,-76,-23,196.8375,0.9925504,-3.2803645,3.641774,1.4338929E-07,7.0953465,1.8509599
grid,-76,0,180,0.95,-3.3232417,4.5390086,1.4526351E-07,7.094063,1.8506252
grid,-76,23,163.16252,0.9925504,-3.223536,5.373334,1.4090523E-07,7.094063,1.8506252
grid,-76,24,162.47444,0.99624294,-3.2164402,5.4060016,1.4059506E-07,7.094063,1.8506252
grid,-75,-27,199.79889,0.99639976,-3.224912,3.4957855,1.4096537E-07,7.095739,1.8510623
grid,-75,-26,199.11974,0.9922355,-3.227727,3.5321732,1.4108842E-07,7.0956426,1.8510371
grid,-75,-25,198.43497,0.98821175,-3.2305532,3.5687177,1.4121196E-07,7.0955467,1.8510122
grid,-75,-24,197.74469,0.98433036,-3.2333834,3.6054235,1.4133568E-07,7.0954523,1.8509876
grid,-75,-23,197.04904,0.98059297,-3.2362115,3.642292,1.414593E-07,7.095359,1.8509631
grid,-75,0,180,0.9375,-3.2795153,4.5390077,1.4335215E-07,7.094063,1.8506252
grid,-75,23,162.95097,0.98059297,-3.1789846,5.372261,1.3895783E-07,7.094063,1.8506252
grid,-75,24,162.25533,0.98433036,-3.1718569,5.404871,1.3864627E-07,7.094063,1.8506252
grid,-75,25,161.56505,0.98821175,-3.1646395,5.4373,1.3833079E-07,7.094063,1.8506252
grid,-75,26,160.88028,0.9922355,-3.1573458,5.4695616,1.3801197E-07,7.094063,1.8506252
grid,-75,27,160.20113,0.99639976,-3.1499891,5.5016665,1.3769039E-07,7.094063,1.8506252
grid,-74,-30,202.06792,0.9981232,-3.172401,3.388363,1.3867005E-07,7.096045,1.8511423
grid,-74,-29,201.39983,0.99349445,-3.1751413,3.424246,1.3878983E-07,7.095948,1.8511169
grid,-74,-28,200.72557,0.98900205,-3.1779156,3.4602818,1.389111E-07,7.0958514,1.8510917
grid,-74,-27,200.04526,0.9846478,-3.180716,3.4964721,1.390335E-07,7.0957537,1.8510662
grid,-74,-26,199.35901,0.9804336,-3.183537,3.5328188,1.3915682E-07,7.0956573,1.8510411
grid,-74,-25,198.66693,0.9763613,-3.1863725,3.569324,1.3928077E-07,7.095562,1.8510162
grid,-74,-24,197.96916,0.97243255,-3.1892138,3.6059904,1.3940496E-07,7.095466,1.8509911
grid,-74,-23,197.26582,0.9686492,-3.1920545,3.6428204,1.3952912E-07,7.0953717,1.8509666
grid,-74,0,180,0.925,-3.2357883,4.539007,1.4144081E-07,7.094063,1.8506252
grid,-74,23,162.73419,0.9686492,-3.1344225,5.371171,1.3700996E-07,7.094063,1.8506252
grid,-74,24,162.03085,0.97243255,-3.127265,5.4037223,1.366971E-07,7.094063,1.8506252
grid,-74,25,161.33308,0.9763613,-3.1200209,5.4360943,1.3638044E-07,7.094063,1.8506252
grid,-74,26,160.641,0.9804336,-3.1127036,5.4683003,1.3606059E-07,7.094063,1.8506252
