sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.4088867,10.499743,0.14082037,9.358126,2.44125
grid,-79,0,180,0.9875,-1.381746,10.490424,0.1485774,9.358126,2.44125
grid,-78,0,180,0.975,-1.3546051,10.481105,0.15633442,9.358126,2.44125
grid,-77,0,180,0.9625,-1.327464,10.4717865,0.16409148,9.358126,2.44125
grid,-76,-24,197.52557,0.99624294,-1.2574992,9.868658,0.14315185,9.358126,2.44125
grid,-76,-23,196.8375,0.9925504,-1.2604399,9.89527,0.14544332,9.358126,2.44125
grid,-76,0,180,0.95,-1.300323,10.462467,0.1718485,9.358126,2.44125
grid,-76,23,163.16252,0.9925504,-1.2604398,11.093109,0.14544332,9.358126,2.44125
grid,-76,24,162.47444,0.99624294,-1.257499,11.125224,0.14315185,9.358126,2.44125
grid,-75,-27,199.79889,0.99639976,-1.2208012,9.778089,0.14305453,9.358126,2.44125
grid,-75,-26,199.11974,0.9922355,-1.2239077,9.8050785,0.14563873,9.358126,2.44125
grid,-75,-25,198.43497,0.98821175,-1.226969,9.831958,0.14813572,9.358126,2.44125
grid,-75,-24,197.74469,0.98433036,-1.2299812,9.858724,0.15054435,9.358126,2.44125
grid,-75,-23,197.04904,0.98059297,-1.23294,9.885374,0.15286365,9.358126,2.44125
grid,-75,0,180,0.9375,-1.2731822,10.453149,0.17960553,9.358126,2.44125
grid,-75,23,162.95097,0.98059297,-1.23294,11.0851755,0.15286365,9.358126,2.44125
grid,-75,24,162.25533,0.98433036,-1.2299811,11.117396,0.15054435,9.358126,2.44125
grid,-75,25,161.56505,0.98821175,-1.226969,11.149952,0.14813572,9.358126,2.44125
grid,-75,26,160.88028,0.9922355,-1.2239078,11.182833,0.14563873,9.358126,2.44125
grid,-75,27,160.20113,0.99639976,-1.2208015,11.216031,0.14305453,9.358126,2.44125
grid,-74,-30,202.06792,0.9981232,-1.1836473,9.686345,0.14198503,9.358126,2.44125
grid,-74,-29,201.39983,0.99349445,-1.1868743,9.713668,0.14485745,9.358126,2.44125
grid,-74,-28,200.72557,0.98900205,-1.1900704,9.740897,0.14764528,9.358126,2.44125
grid,-74,-27,200.04526,0.9846478,-1.1932309,9.768027,0.15034735,9.358126,2.44125
grid,-74,-26,199.35901,0.9804336,-1.1963518,9.795054,0.15296255,9.358126,2.44125
grid,-74,-25,198.66693,0.9763613,-1.1994293,9.821973,0.15548965,9.358126,2.44125
grid,-74,-24,197.96916,0.97243255,-1.2024581,9.848779,0.15792769,9.358126,2.44125
grid,-74,-23,197.26582,0.9686492,-1.2054342,9.875466,0.16027549,9.358126,2.44125
grid,-74,0,180,0.925,-1.2460413,10.4438305,0.18736257,9.358126,2.44125
grid,-74,23,162.73419,0.9686492,-1.2054342,11.077276,0.16027549,9.358126,2.44125
grid,-74,24,162.03085,0.97243255,-1.2024583,11.109605,0.15792769,9.358126,2.44125
grid,-74,25,161.33308,0.9763613,-1.1994295,11.142266,0.15548965,9.358126,2.44125
grid,-74,26,160.641,0.9804336,-1.196352,11.175257,0.15296255,9.358126,2.44125
grid,-74,27,159.95476,0.9846478,-1.1932309,11.208567,0.15034735,9.358126,2.44125
grid,-74,28,159.27444,0.98900205,-1.1900702,11.242191,0.14764528,9.358126,2.44125
grid,-74,29,158.60019,0.99349445,-1.1868745,11.276119,0.14485745,9.358126,2.44125
grid,-74,30,157.9321,0.9981232,-1.183648,11.310346,0.14198503,9.358126,2.44125
grid,-73,-32,203.67055,0.9963214,-1.1494828,9.621174,0.14310317,9.358126,2.44125
grid,-73,-31,203.00888,0.991369,-1.1527697,9.648708,0.14617644,9.358126,2.44125
grid,-73,-30,202.34065,0.9865502,-1.1560341,9.676158,0.1491668,9.358126,2.44125
grid,-73,-29,201.66597,0.98186684,-1.1592722,9.703519,0.15207313,9.358126,2.44125
grid,-73,-28,200.98491,0.97732097,-1.1624804,9.730785,0.15489413,9.358126,2.44125
grid,-73,-27,200.29758,0.97291446,-1.1656549,9.757953,0.15762864,9.358126,2.44125
grid,-73,-26,199.6041,0.9686492,-1.1687905,9.78502,0.16027549,9.358126,2.44125
grid,-73,-25,198.90459,0.9645271,-1.1718836,9.8119755,0.16283354,9.358126,2.44125
grid,-73,-24,198.19919,0.96055,-1.1749291,9.838819,0.16530155,9.358126,2.44125
grid,-73,-23,197.488,0.9567197,-1.1779232,9.865546,0.1676785,9.358126,2.44125
grid,-73,0,180,0.9125,-1.2189006,10.43451,0.19511957,9.358126,2.44125
grid,-73,23,162.51201,0.9567197,-1.1779232,11.069408,0.1676785,9.358126,2.44125
grid,-73,24,161.80083,0.96055,-1.1749294,11.101845,0.16530155,9.358126,2.44125
grid,-73,25,161.09543,0.9645271,-1.1718836,11.134619,0.16283354,9.358126,2.44125
grid,-73,26,160.39592,0.9686492,-1.1687907,11.167723,0.16027549,9.358126,2.44125
grid,-73,27,159.70244,0.97291446,-1.1656551,11.201145,0.15762864,9.358126,2.44125
grid,-73,28,159.0151,0.97732097,-1.1624806,11.234885,0.15489413,9.358126,2.44125
grid,-73,29,158.33405,0.98186684,-1.1592727,11.26893,0.15207313,9.358126,2.44125
grid,-73,30,157.65936,0.9865502,-1.1560344,11.303273,0.1491668,9.358126,2.44125
grid,-73,31,156.99113,0.991369,-1.1527697,11.337911,0.14617644,9.358126,2.44125
grid,-73,32,156.32947,0.9963214,-1.1494832,11.372829,0.14310317,9.358126,2.44125
grid,-72,-34,205.27773,0.9953014,-1.1152067,9.555523,0.14373611,9.358126,2.44125
grid,-72,-33,204.62358,0.9900284,-1.1185331,9.583249,0.14700837,9.358126,2.44125
grid,-72,-32,203.9625,0.98488575,-1.1218462,9.610899,0.1501997,9.358126,2.44125
grid,-72,-31,203.29457,0.9798756,-1.1251414,9.63847,0.1533088,9.358126,2.44125
grid,-72,-30,202.61987,0.97499996,-1.1284156,9.6659565,0.15633444,9.358126,2.44125
grid,-72,-29,201.93849,0.97026086,-1.1316649,9.693355,0.15927535,9.358126,2.44125
grid,-72,-28,201.25052,0.9656604,-1.1348855,9.720659,0.16213024,9.358126,2.44125
grid,-72,-27,200.55606,0.9612004,-1.1380732,9.747866,0.16489793,9.358126,2.44125
grid,-72,-26,199.85522,0.9568829,-1.1412237,9.77497,0.16757724,9.358126,2.44125
grid,-72,-25,199.14816,0.9527099,-1.1443324,9.801966,0.17016682,9.358126,2.44125
grid,-72,-24,198.43497,0.94868326,-1.1473947,9.828848,0.17266561,9.358126,2.44125
grid,-72,-23,197.7158,0.94480485,-1.1504059,9.855614,0.1750724,9.358126,2.44125
grid,-72,0,180,0.9,-1.1917593,10.425191,0.20287664,9.358126,2.44125
grid,-72,23,162.28421,0.94480485,-1.1504061,11.061575,0.1750724,9.358126,2.44125
grid,-72,24,161.56505,0.94868326,-1.1473947,11.094122,0.17266561,9.358126,2.44125
grid,-72,25,160.85185,0.9527099,-1.1443325,11.12701,0.17016682,9.358126,2.44125
grid,-72,26,160.14479,0.9568829,-1.1412239,11.160228,0.16757724,9.358126,2.44125
grid,-72,27,159.44395,0.9612004,-1.1380734,11.1937685,0.16489793,9.358126,2.44125
grid,-72,28,158.7495,0.9656604,-1.1348857,11.227625,0.16213024,9.358126,2.44125
grid,-72,29,158.06152,0.97026086,-1.1316651,11.261789,0.15927535,9.358126,2.44125
grid,-72,30,157.38014,0.97499996,-1.1284158,11.296253,0.15633444,9.358126,2.44125
grid,-72,31,156.70544,0.9798756,-1.1251414,11.33101,0.1533088,9.358126,2.44125
grid,-72,32,156.03752,0.98488575,-1.1218462,11.36605,0.1501997,9.358126,2.44125
grid,-72,33,155.37643,0.9900284,-1.1185331,11.40137,0.14700837,9.358126,2.44125
grid,-72,34,154.72229,0.9953014,-1.1152068,11.436959,0.14373611,9.358126,2.44125
grid,-71,-36,206.88695,0.9950659,-1.0808644,9.489435,0.14388224,9.358126,2.44125
grid,-71,-35,206.24136,0.98947585,-1.0842123,9.517333,0.14735126,9.358126,2.44125
grid,-71,-34,205.58852,0.98401284,-1.0875542,9.545163,0.1507414,9.358126,2.44125
grid,-71,-33,204.9285,0.97867894,-1.0908861,9.572924,0.15405141,9.358126,2.44125
grid,-71,-32,204.2613,0.9734764,-1.0942057,9.600611,0.1572799,9.358126,2.44125
grid,-71,-31,203.58704,0.9684072,-1.0975093,9.628218,0.16042566,9.358126,2.44125
grid,-71,-30,202.90578,0.96347356,-1.1007931,9.655741,0.16348732,9.358126,2.44125
grid,-71,-29,202.2176,0.9586775,-1.104053,9.683175,0.16646358,9.358126,2.44125
grid,-71,-28,201.52261,0.9540211,-1.1072859,9.710518,0.16935314,9.358126,2.44125
grid,-71,-27,200.8209,0.94950646,-1.1104867,9.737762,0.17215475,9.358126,2.44125
grid,-71,-26,200.11261,0.94513553,-1.1136514,9.764906,0.1748672,9.358126,2.44125
grid,-71,-25,199.39783,0.94091046,-1.1167758,9.791942,0.17748913,9.358126,2.44125
grid,-71,-24,198.67671,0.9368331,-1.1198549,9.818864,0.18001938,9.358126,2.44125
