sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-0.17187499,10.561289,0.20624995,8.222501,2.145
grid,-79,0,180,0.9875,-0.16088733,10.561289,0.20625556,8.222501,2.145
grid,-78,0,180,0.975,-0.14989986,10.561289,0.20626104,8.222501,2.145
grid,-77,0,180,0.9625,-0.13891222,10.561289,0.20626664,8.222501,2.145
grid,-76,-24,197.52557,0.99624294,0.1045503,10.219854,0.20625162,8.222501,2.145
grid,-76,-23,196.8375,0.9925504,0.09610027,10.234475,0.20625329,8.222501,2.145
grid,-76,0,180,0.95,-0.12792456,10.56129,0.20627224,8.222501,2.145
grid,-76,23,163.16252,0.9925504,0.09610003,11.378323,0.20625329,8.222501,2.145
grid,-76,24,162.47444,0.99624294,0.10455006,11.414875,0.20625162,8.222501,2.145
grid,-75,-27,199.79889,0.99639976,0.1398888,10.175504,0.20625162,8.222501,2.145
grid,-75,-26,199.11974,0.9922355,0.13171807,10.190295,0.20625341,8.222501,2.145
grid,-75,-25,198.43497,0.98821175,0.123465866,10.205033,0.2062552,8.222501,2.145
grid,-75,-24,197.74469,0.98433036,0.11512962,10.219719,0.20625687,8.222501,2.145
grid,-75,-23,197.04904,0.98059297,0.1067065,10.234356,0.20625854,8.222501,2.145
grid,-75,0,180,0.9375,-0.11693703,10.56129,0.20627773,8.222501,2.145
grid,-75,23,162.95097,0.98059297,0.10670626,11.378621,0.20625854,8.222501,2.145
grid,-75,24,162.25533,0.98433036,0.11512938,11.415213,0.20625687,8.222501,2.145
grid,-75,25,161.56505,0.98821175,0.12346563,11.45193,0.2062552,8.222501,2.145
grid,-75,26,160.88028,0.9922355,0.13171783,11.488773,0.20625341,8.222501,2.145
grid,-75,27,160.20113,0.99639976,0.13988855,11.525748,0.20625162,8.222501,2.145
grid,-74,-30,202.06792,0.9981232,0.17433548,10.1305485,0.20625079,8.222501,2.145
grid,-74,-29,201.39983,0.99349445,0.16642341,10.145526,0.20625281,8.222501,2.145
grid,-74,-28,200.72557,0.98900205,0.15843704,10.160447,0.20625484,8.222501,2.145
grid,-74,-27,200.04526,0.9846478,0.15037394,10.175311,0.20625675,8.222501,2.145
grid,-74,-26,199.35901,0.9804336,0.14223188,10.19012,0.20625865,8.222501,2.145
grid,-74,-25,198.66693,0.9763613,0.13400799,10.204876,0.20626044,8.222501,2.145
