sweep,stick_x,stick_y,angle,mag,bone_x,bone_y,bone_z,shield_radius_full,shield_radius_min
grid,-80,0,180,1,-1.9238379,10.628174,-0.118124925,8.603438,2.2443752
grid,-79,0,180,0.9875,-1.8961806,10.638174,-0.11814704,8.603438,2.2443752
grid,-78,0,180,0.975,-1.868523,10.648175,-0.11816921,8.603438,2.2443752
grid,-77,0,180,0.9625,-1.8408655,10.658175,-0.118191324,8.603438,2.2443752
grid,-76,-24,197.52557,0.99624294,-1.5147512,9.32726,-0.118131556,8.603438,2.2443752
grid,-76,-23,196.8375,0.9925504,-1.5319388,9.392264,-0.11813817,8.603438,2.2443752
grid,-76,0,180,0.95,-1.8132081,10.668177,-0.118213505,8.603438,2.2443752
grid,-76,23,163.16252,0.9925504,-1.8278378,11.659298,-0.11813816,8.603438,2.2443752
grid,-76,24,162.47444,0.99624294,-1.8238189,11.700828,-0.11813154,8.603438,2.2443752
grid,-75,-27,199.79889,0.99639976,-1.4318411,9.134705,-0.11813138,8.603438,2.2443752
grid,-75,-26,199.11974,0.9922355,-1.4500299,9.201848,-0.11813865,8.603438,2.2443752
grid,-75,-25,198.43497,0.98821175,-1.4679285,9.268364,-0.11814574,8.603438,2.2443752
grid,-75,-24,197.74469,0.98433036,-1.485527,9.334237,-0.118152715,8.603438,2.2443752
grid,-75,-23,197.04904,0.98059297,-1.5028142,9.399451,-0.11815933,8.603438,2.2443752
grid,-75,0,180,0.9375,-1.7855506,10.678177,-0.11823574,8.603438,2.2443752
grid,-75,23,162.95097,0.98059297,-1.7988026,11.668838,-0.11815932,8.603438,2.2443752
grid,-75,24,162.25533,0.98433036,-1.7946916,11.710335,-0.1181527,8.603438,2.2443752
grid,-75,25,161.56505,0.98821175,-1.7902932,11.751724,-0.11814573,8.603438,2.2443752
grid,-75,26,160.88028,0.9922355,-1.7856177,11.793005,-0.11813863,8.603438,2.2443752
grid,-75,27,160.20113,0.99639976,-1.7806752,11.834185,-0.11813136,8.603438,2.2443752
grid,-74,-30,202.06792,0.9981232,-1.3457851,8.935263,-0.118128225,8.603438,2.2443752
grid,-74,-29,201.39983,0.99349445,-1.3648789,9.004415,-0.11813651,8.603438,2.2443752
grid,-74,-28,200.72557,0.98900205,-1.3837152,9.072988,-0.1181445,8.603438,2.2443752
grid,-74,-27,200.04526,0.9846478,-1.4022832,9.140964,-0.11815207,8.603438,2.2443752
grid,-74,-26,199.35901,0.9804336,-1.4205725,9.208324,-0.11815958,8.603438,2.2443752
grid,-74,-25,198.66693,0.9763613,-1.4385724,9.27506,-0.11816685,8.603438,2.2443752
grid,-74,-24,197.96916,0.97243255,-1.4562715,9.341147,-0.118173815,8.603438,2.2443752
grid,-74,-23,197.26582,0.9686492,-1.4736588,9.406572,-0.11818055,8.603438,2.2443752
grid,-74,0,180,0.925,-1.7578933,10.688177,-0.11825785,8.603438,2.2443752
grid,-74,23,162.73419,0.9686492,-1.769739,11.678366,-0.118180536,8.603438,2.2443752
grid,-74,24,162.03085,0.97243255,-1.7655362,11.719829,-0.1181738,8.603438,2.2443752
grid,-74,25,161.33308,0.9763613,-1.7610445,11.761183,-0.11816683,8.603438,2.2443752
grid,-74,26,160.641,0.9804336,-1.7562753,11.80243,-0.118159555,8.603438,2.2443752
grid,-74,27,159.95476,0.9846478,-1.7512398,11.843573,-0.118152045,8.603438,2.2443752
grid,-74,28,159.27444,0.98900205,-1.7459481,11.884616,-0.118144475,8.603438,2.2443752
grid,-74,29,158.60019,0.99349445,-1.7404116,11.925561,-0.11813649,8.603438,2.2443752
grid,-74,30,157.9321,0.9981232,-1.7346396,11.966409,-0.1181282,8.603438,2.2443752
grid,-73,-32,203.67055,0.9963214,-1.276766,8.800311,-0.1181315,8.603438,2.2443752
grid,-73,-31,203.00888,0.991369,-1.2964439,8.870808,-0.118140206,8.603438,2.2443752
grid,-73,-30,202.34065,0.9865502,-1.3158853,8.940755,-0.11814879,8.603438,2.2443752
grid,-73,-29,201.66597,0.98186684,-1.3350799,9.010137,-0.118157074,8.603438,2.2443752
grid,-73,-28,200.98491,0.97732097,-1.3540176,9.078938,-0.11816506,8.603438,2.2443752
grid,-73,-27,200.29758,0.97291446,-1.372688,9.1471405,-0.11817293,8.603438,2.2443752
grid,-73,-26,199.6041,0.9686492,-1.3910799,9.214727,-0.11818056,8.603438,2.2443752
grid,-73,-25,198.90459,0.9645271,-1.4091821,9.281683,-0.11818783,8.603438,2.2443752
grid,-73,-24,198.19919,0.96055,-1.426983,9.347988,-0.11819486,8.603438,2.2443752
grid,-73,-23,197.488,0.9567197,-1.4444723,9.41363,-0.11820166,8.603438,2.2443752
grid,-73,0,180,0.9125,-1.7302358,10.698178,-0.11828002,8.603438,2.2443752
grid,-73,23,162.51201,0.9567197,-1.7406465,11.687884,-0.11820164,8.603438,2.2443752
grid,-73,24,161.80083,0.96055,-1.7363491,11.729312,-0.11819485,8.603438,2.2443752
grid,-73,25,161.09543,0.9645271,-1.731763,11.770629,-0.118187815,8.603438,2.2443752
grid,-73,26,160.39592,0.9686492,-1.7269003,11.81184,-0.11818054,8.603438,2.2443752
grid,-73,27,159.70244,0.97291446,-1.7217708,11.852946,-0.11817291,8.603438,2.2443752
grid,-73,28,159.0151,0.97732097,-1.7163855,11.893951,-0.11816504,8.603438,2.2443752
grid,-73,29,158.33405,0.98186684,-1.7107561,11.934859,-0.11815705,8.603438,2.2443752
grid,-73,30,157.65936,0.9865502,-1.7048917,11.975668,-0.11814877,8.603438,2.2443752
grid,-73,31,156.99113,0.991369,-1.6988015,12.016387,-0.11814018,8.603438,2.2443752
grid,-73,32,156.32947,0.9963214,-1.6924973,12.057012,-0.11813148,8.603438,2.2443752
grid,-72,-34,205.27773,0.9953014,-1.2063977,8.662187,-0.1181333,8.603438,2.2443752
grid,-72,-33,204.62358,0.9900284,-1.2266176,8.733972,-0.11814254,8.603438,2.2443752
grid,-72,-32,203.9625,0.98488575,-1.2466223,8.805239,-0.11815178,8.603438,2.2443752
grid,-72,-31,203.29457,0.9798756,-1.2664006,8.875969,-0.11816059,8.603438,2.2443752
grid,-72,-30,202.61987,0.97499996,-1.285943,8.946151,-0.11816923,8.603438,2.2443752
grid,-72,-29,201.93849,0.97026086,-1.3052399,9.015766,-0.11817764,8.603438,2.2443752
grid,-72,-28,201.25052,0.9656604,-1.3242806,9.084799,-0.11818586,8.603438,2.2443752
grid,-72,-27,200.55606,0.9612004,-1.3430543,9.153232,-0.11819367,8.603438,2.2443752
grid,-72,-26,199.85522,0.9568829,-1.36155,9.221048,-0.11820136,8.603438,2.2443752
grid,-72,-25,199.14816,0.9527099,-1.3797557,9.288229,-0.11820875,8.603438,2.2443752
grid,-72,-24,198.43497,0.94868326,-1.3976611,9.354758,-0.1182159,8.603438,2.2443752
grid,-72,-23,197.7158,0.94480485,-1.4152533,9.420618,-0.11822276,8.603438,2.2443752
grid,-72,0,180,0.9,-1.7025783,10.708179,-0.118302196,8.603438,2.2443752
