code,name,max_up,max_down,max_forward,max_back,centre_reach_area,shield_radius_full,has_tilt,forward_hysteresis_gap
Fc,Falco,6.603437,6.596563300000001,3.0436824000000002,5.7563172,89.11599048249712,7.9062505,True,0.0
Fx,Fox,5.763000999999999,5.7569987000000005,2.6563046,5.0236947999999995,67.87544593781351,7.935001,True,0.0
Kp,Bowser,3.554926,3.0405045,3.1043797,6.176344599999999,48.471908741927784,12.398438,True,0.0
Lk,Link,4.312621999999999,3.7213937,3.7103085,3.9961976000000003,47.1106970483321,8.154939,True,0.2434400353024249
Lg,Luigi,5.000046000000001,4.1247096999999995,3.125,3.75,41.937717243008905,7.7265635,True,0.0
Pk,Pikachu,3.4910126000000004,3.68877745,2.2377338,4.5094947,40.11356403741045,6.2100005,True,0.0
Zd,Zelda,2.870128000000001,6.824427999999999,3.73010656,2.21259594,37.54721461211494,8.603438,True,0.0
Cl,YoungLink,4.6906848,2.7051926999999996,2.91302086,3.15087624,36.007246688406234,6.417001,True,1.4993088828096701
Pp,Popo,4.594562000000001,3.8002134999999995,2.8750000000000004,3.4834925,35.63888456220927,7.108438,True,0.0
Dr,DrMario,4.400041000000001,3.6297448,2.75,3.3000001,32.47657219873441,6.799376,True,0.0
Mr,Mario,4.400041000000001,3.6297448,2.75,3.3000001,32.47657219873441,6.799376,True,0.0
Pr,Jigglypuff,2.9242989999999995,2.808129,3.9596581,3.4981494,31.836907069436087,7.094063,True,0.0
Pe,Peach,2.61956,6.228645499999999,3.40446243,2.01943277,31.277518117398756,7.852344,True,0.0
Kb,Kirby,2.8620796000000004,2.7483819,3.8754103,3.4237208,30.496559039829872,7.7763004,True,0.0
Ns,Ness,4.007382,3.2924223,2.5,2.5,26.376674063718507,7.9062505,True,0.0
Dk,DonkeyKong,5.1590229999999995,2.8378475000000005,2.9629125,0.9262601000000001,21.012917350395043,10.062501,True,3.000070208686806
Ms,Marth,3.29791,2.844875,2.1608868,2.8290911999999997,20.65888674275656,7.7696877,True,0.0
Fe,Roy,3.0971686000000007,2.6717091,2.02935454,2.65688586,18.22043744063537,7.2967505,True,0.0
Mt,Mewtwo,2.7657819999999997,3.2405660000000003,2.2194525,1.4243462999999998,16.900033104344867,9.343751,True,0.0
Gn,Ganondorf,4.860103999999998,1.9436850000000003,3.24000996,1.07999009,16.095737503077615,9.3150015,True,0.0
Sk,Sheik,3.5455180000000013,2.0544826999999994,2.0287277,2.1712721,15.310359931594927,9.358126,True,0.0
Ca,CaptainFalcon,4.3650945,1.7457159999999998,2.91000893,0.9699910700000001,12.983949884188263,8.366251,True,0.0
Pc,Pichu,1.9386739999999998,2.0502200000000004,1.24331924,2.50514126,12.381026173789289,6.9862504,True,0.0
Ss,Samus,3.9599960000000003,1.5838319999999992,2.64099224,0.87900775,10.68633823513202,8.222501,True,0.0
Gw,MrGameAndWatch,2.0336955000000003,1.3322301000000003,1.53,2.04,5.786547481479884,6.3048754,True,0.0
Ys,Yoshi,0.0,0.0,0.0,0.0,0.0,6.2999997,False,0.0
